category,database,rank,id,title,journal,pubdate,doi,pmcid,url
pubmed_alias_pan_cancer_signature,pubmed,1,37238607,Epigenetic and Tumor Microenvironment for Prognosis of Patients with Gastric Cancer.,Biomolecules,2023 Apr 25,10.3390/biom13050736,pmc-id: PMC10216680;,https://pubmed.ncbi.nlm.nih.gov/37238607/
pubmed_alias_pan_cancer_signature,pubmed,2,31531884,TMEM158 promotes pancreatic cancer aggressiveness by activation of TGFβ1 and PI3K/AKT signaling pathway.,Journal of cellular physiology,2020 Mar,10.1002/jcp.29181,,https://pubmed.ncbi.nlm.nih.gov/31531884/
pubmed_alias_pan_cancer_signature,pubmed,3,39543089,"TMEM158, as plasma cfRNA marker, promotes proliferation and doxorubicin resistance in ovarian cancer.",The pharmacogenomics journal,2024 Nov 15,10.1038/s41397-024-00357-8,,https://pubmed.ncbi.nlm.nih.gov/39543089/
pubmed_alias_pan_cancer_signature,pubmed,4,40347726,Multidimensional bioinformatics analysis reveals the potential carcinogenic role of acrylamide in colorectal cancer.,Ecotoxicology and environmental safety,2025 Jun 15,10.1016/j.ecoenv.2025.118281,,https://pubmed.ncbi.nlm.nih.gov/40347726/
pubmed_alias_pan_cancer_signature,pubmed,5,37970923,Oncogenic transmembrane protein 158 drives the PI3K/Akt signaling pathway to accelerate gastric cancer cell growth.,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas,2023,10.1590/1414-431X2023e12943,pmc-id: PMC10644964;,https://pubmed.ncbi.nlm.nih.gov/37970923/
pubmed_alias_pan_cancer_signature,pubmed,6,33428142,TMEM158 May Serve as a Diagnostic Biomarker for Anaplastic Thyroid Carcinoma: An Integrated Bioinformatic Analysis.,Current medical science,2020 Dec,10.1007/s11596-020-2296-8,,https://pubmed.ncbi.nlm.nih.gov/33428142/
pubmed_alias_pan_cancer_signature,pubmed,7,34992215,TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas.,Cancer gene therapy,2022 Aug,10.1038/s41417-021-00414-5,pmc-id: PMC9395270;,https://pubmed.ncbi.nlm.nih.gov/34992215/
pubmed_alias_pan_cancer_signature,pubmed,8,39477292,Over-expression of Transmembrane Protein 158 Predicts Aggressive Tumor Behavior and Poor Prognosis in Lung Cancer.,Anticancer research,2024 Nov,10.21873/anticanres.17314,,https://pubmed.ncbi.nlm.nih.gov/39477292/
pubmed_alias_pan_cancer_signature,pubmed,9,36977915,"Systematic pan-cancer analysis identifies transmembrane protein 158 as a potential therapeutic, prognostic and immunological biomarker.",Functional & integrative genomics,2023 Mar 28,10.1007/s10142-023-01032-0,,https://pubmed.ncbi.nlm.nih.gov/36977915/
pubmed_alias_pan_cancer_signature,pubmed,10,37064154,Illustrating the biological functions and diagnostic value of transmembrane protein family members in glioma.,Frontiers in oncology,2023,10.3389/fonc.2023.1145676,pmc-id: PMC10102456;,https://pubmed.ncbi.nlm.nih.gov/37064154/
pubmed_alias_cancer_caf,pubmed,1,37238607,Epigenetic and Tumor Microenvironment for Prognosis of Patients with Gastric Cancer.,Biomolecules,2023 Apr 25,10.3390/biom13050736,pmc-id: PMC10216680;,https://pubmed.ncbi.nlm.nih.gov/37238607/
