"dataset","metric","n","rho","p.value","FDR"
"GSE20347","Ca2_axis_score",17,0.409313725490196,0.104039021122669,0.353683613196561
"GSE20347","PERK_score",17,-0.169117647058824,0.515164256863485,0.572404729848316
"GSE20347","IRE1_score",17,-0.237745098039216,0.356747172699823,0.572404729848316
"GSE20347","ATF6_score",17,-0.382352941176471,0.130676009253024,0.353683613196561
"GSE20347","UPR_composite",17,-0.372549019607843,0.141473445278624,0.353683613196561
"GSE20347","PERK_bias_index",17,0.174019607843137,0.502842203479041,0.572404729848316
"GSE20347","CAF_score",17,0.127450980392157,0.625399970119372,0.625399970119372
"GSE20347","Proteostasis_score",17,-0.21078431372549,0.415247112734396,0.572404729848316
"GSE20347","Survival_score",17,-0.29656862745098,0.246989079713283,0.493978159426565
"GSE20347","Drug_efflux_score",17,0.512254901960784,0.0376009300404122,0.353683613196561
"GSE26886","Ca2_axis_score",9,-0.233333333333333,0.551708553791887,0.726176697530864
"GSE26886","PERK_score",9,0.266666666666667,0.493331128747795,0.726176697530864
"GSE26886","IRE1_score",9,0.716666666666667,0.0368661816578483,0.184330908289242
"GSE26886","ATF6_score",9,-0.133333333333333,0.743540564373898,0.743540564373898
"GSE26886","UPR_composite",9,0.383333333333333,0.3125,0.726176697530864
"GSE26886","PERK_bias_index",9,0.366666666666667,0.336259920634921,0.726176697530864
"GSE26886","CAF_score",9,0.783333333333333,0.0172233245149912,0.172233245149912
"GSE26886","Proteostasis_score",9,0.266666666666667,0.493331128747795,0.726176697530864
"GSE26886","Survival_score",9,-0.216666666666667,0.580941358024691,0.726176697530864
"GSE26886","Drug_efflux_score",9,0.15,0.708068783068783,0.743540564373898
"GSE45670","Ca2_axis_score",28,-0.582922824302135,0.00138505820419634,0.0069252910209817
"GSE45670","PERK_score",28,-0.0640394088669951,0.745515251244317,0.910224478934384
"GSE45670","IRE1_score",28,0.162014230979748,0.408451090415875,0.694036974204179
"GSE45670","ATF6_score",28,-0.0328407224958949,0.868416450068111,0.910224478934384
"GSE45670","UPR_composite",28,-0.136836343732895,0.485825881942926,0.694036974204179
"GSE45670","PERK_bias_index",28,0.0224411603721949,0.910224478934384,0.910224478934384
"GSE45670","CAF_score",28,0.621237000547345,0.000549464604635435,0.00549464604635435
"GSE45670","Proteostasis_score",28,0.436781609195402,0.0210286411721071,0.0700954705736904
"GSE45670","Survival_score",28,0.309250136836344,0.10947212430202,0.273680310755049
"GSE45670","Drug_efflux_score",28,0.141215106732348,0.471849099208593,0.694036974204179
"TCGA","Ca2_axis_score",184,0.27534224540842,0.000155039396708773,0.000387598491771932
"TCGA","PERK_score",184,0.0862045217910838,0.244613104163556,0.305766380204445
"TCGA","IRE1_score",184,-0.296706757837028,4.31785390791271e-05,0.00014392846359709
"TCGA","ATF6_score",184,-0.0351391571110193,0.63582174735998,0.63582174735998
"TCGA","UPR_composite",184,-0.128673485408694,0.0817254438707385,0.116750634101055
"TCGA","PERK_bias_index",184,0.334079484348116,3.57538675426967e-06,1.78769337713484e-05
"TCGA","CAF_score",184,0.497711942688433,6.57835204214195e-13,6.57835204214195e-12
"TCGA","Proteostasis_score",184,0.0578742209001113,0.435185739259572,0.483539710288414
"TCGA","Survival_score",184,0.155792093561053,0.034705591160102,0.0578426519335033
"TCGA","Drug_efflux_score",184,0.237625660147185,0.00116221125445129,0.00232442250890258
