"item","value"
"module_status","completed"
"source_extract_status","partial_completed"
"libraries_parsed","7"
"libraries_failed","4"
"tumor_libraries_with_epithelial_fibroblast","6"
"target_genes_requested","124"
"target_genes_covered","124"
"top_celltype_TAC_meta_ECM","Fibroblast"
"fibroblast_vs_epithelial_TAC_meta_delta","3.149"
"fibroblast_vs_epithelial_TAC_meta_p","0.031"
"TAC_like_ECM_integrin_bridge_rho","0.371"
"TAC_like_ECM_integrin_bridge_p","0.468"
"interpretation","Independent GSE221561 therapy-context scRNA validation; partial raw-library recovery and small matched-sample n"
