"group_id","group_level","library_name","group_name","Cell_type","Cell_type_sub","Tissue_type","Neoadjuvant","n_cells","ABCB1","ABCC1","ABCC2","ABCC3","ABCG2","ACTA2","ACVR2A","APOE","ATF4","ATF6","ATP2A2","ATP2B4","CALR","CANX","CCL18","CD163","CD44","CD74","CD8A","CD8B","CHST7","COL1A1","COL1A2","COL3A1","COL5A1","COL5A2","COL6A2","COL6A3","CORO1C","CTLA4","CXCL12","CXCR4","DCN","DDIT3","DERL3","DNAJB9","EDEM1","EIF2AK3","ERN1","FAP","FGF2","FGFR1","FN1","FOXP3","FZD2","FZD5","GCLC","GCLM","GPX1","GPX8","GSR","GSTP1","GZMB","HAVCR2","HERPUD1","HGF","HMOX1","HSP90B1","HSPA5","IFNG","IL10","IL2RA","IL6","IL6R","IL6ST","INHBA","ITGA1","ITGA2","ITGA3","ITGA5","ITGAV","ITGB1","ITGB3","ITPR1","ITPR2","ITPR3","KDR","LAG3","LUM","MET","MIF","MMP11","MMP2","MRC1","MYC","NKG7","NPM1","NQO1","ORAI1","PDCD1","PDGFA","PDGFB","PDGFRA","PDIA3","PDIA4","POSTN","PPP1R15A","PRF1","RPLP0","RPS3","SEC61A1","SEL1L","SLC7A11","SOD2","SPP1","SPRY2","SRP54","STIM1","SULF1","SYVN1","TAGLN","TGFB1","TGFBR1","TGFBR2","TIGIT","TMEM132A","TMEM158","TOX","TXN","TXNRD1","VEGFA","VIM","WNT5A","XBP1","TMEM158_z","Ca2_core_score","PERK_score","IRE1_ATF6_score","Ca_PERK_core_score","Proteostasis_score","Transport_detox_score","TAC_meta_ECM_score","CAF_ECM_score","ECM_integrin_ligand_score","MIF_SPP1_ligand_score","Integrin_receptor_score","MIF_axis_receptor_score","Tcell_exhaustion_score","Cytotoxic_score","Myeloid_suppressive_score"
"Cell_type_sub|S0520T|CD4-Treg","Cell_type_sub","S0520T","CD4-Treg","T cell","CD4-Treg","Tumor","Chemotherapy",45,0,0.01540327,0,0,0,0.06161308,0,0,0.15665011,0.04620981,0.10782289,0.07701635,0.33247902,0.06161308,0.04620981,0,0.27987627,0.54930802,0.01540327,0.01540327,0.03080654,0.44815412,0.46355739,0.38915844,0.06161308,0.07701635,0.03080654,0.01540327,0,0.45716445,0,0.18340506,0.04620981,0.10142996,0,0.03080654,0.08602669,0.01540327,0.06161308,0,0,0.01540327,0.15665011,0.3775307,0.01540327,0,0,0,0,0.01540327,0.03080654,0.07701635,0.11945063,0.10782289,0.20925285,0,0.06161308,0.19384958,0.12584357,0.01540327,0.01540327,0.46589873,0,0.03080654,0.06161308,0,0,0,0.01540327,0.01540327,0.03080654,0.25808007,0,0.01540327,0,0.01540327,0,0.01540327,0.1322365,0,0.70417398,0.03080654,0.06161308,0,0.01540327,0.10782289,0.39031657,0.01540327,0.06161308,0,0.1104403,0,0,0.06161308,0.10782289,0.03080654,0.25402848,0.15403271,0.40833724,0.87514313,0.03080654,0.05522015,0,0.1322365,0.04620981,0,0.03080654,0.04620981,0.03080654,0,0,0.08602669,0.01540327,0,0.37320305,0,0,0.03080654,0.40051012,0.04620981,0,0.72750336,0.01540327,0.06161308,-0.435831743719795,-0.923072663972737,-0.89208248469568,-1.00407311718274,-0.888095386878488,-1.20801249851102,-0.994033016041087,-0.338911629121816,-0.293770702077134,-0.125342410677659,-0.907328969496397,-1.03727895833844,-1.07296302288497,0.797184380133686,-0.303254754984221,-0.592469430825906
"Cell_type_sub|S0520T|CD8-MT1X","Cell_type_sub","S0520T","CD8-MT1X","T cell","CD8-MT1X","Tumor","Chemotherapy",3,0,0,0,0,0,0.46209812,0.23104906,0,0,0,0,0,0.23104906,0.23104906,0,0,0.73240819,1.62760064,0,0,0,0,0.96345725,0.46209812,0,0,0,0.23104906,0.23104906,0.23104906,0,0.3662041,0.23104906,0.23104906,0,0,0,0,0,0,0,0,0.69314718,0,0,0,0,0,0,0,0,0.46209812,0,0,0,0,0,0.46209812,0.23104906,0.23104906,0,0,0,0,0.23104906,0,0.23104906,0,0,0.23104906,0.23104906,0.69314718,0,0,0.23104906,0,0,0,0,0,1.29040034,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0.23104906,0,0,0.96345725,0,1.11073484,1.13373246,0.23104906,0,0,0.82830222,0.73240819,0,0,0,0,0,0.69314718,0.23104906,0,0,0.23104906,0,0,0,0.99857742,0.23104906,0,1.5214494,0,0,-0.435831743719795,-0.937293400102946,-0.945024439245311,-1.22240358601012,-0.91459348687401,-1.05014618744593,-0.712639606810859,-0.119156799526174,-0.0811560060482431,0.0033501686630008,-0.165327078875077,-0.20864950594616,-0.0441761257478265,-0.00867883875498418,-0.408940148318164,-0.299368137078916
"Cell_type_sub|S0520T|DC-CD1C","Cell_type_sub","S0520T","DC-CD1C","Myeloid","DC-CD1C","Tumor","Chemotherapy",32,0,0,0,0.0433217,0,0,0.0433217,0.30226762,0.14263588,0.06498255,0.15162595,0.0866434,0.51823176,0.30693261,0,0.21660849,0.60895123,3.15133529,0,0,0,0.60285833,0.61920983,0.34126425,0.0433217,0.06498255,0.09032412,0.02166085,0.13364582,0.02166085,0,0.16797745,0.1299651,0.0866434,0,0.0433217,0.1299651,0,0.0433217,0,0,0.05599248,0.26729163,0,0,0.02166085,0,0,0,0,0.02166085,0.41891758,0,0.15162595,0.26361091,0.02166085,0.22927928,0.56523418,0.32859346,0,0.02166085,0.0433217,0,0,0.0866434,0.0866434,0,0.02166085,0,0.10830425,0.16429673,0.22396993,0,0.10830425,0.21660849,0,0.02166085,0,0.21660849,0,1.25915259,0.0866434,0.07765333,0.54396868,0.02166085,0.02166085,0.47441793,0,0.15162595,0,0,0.0433217,0,0.42422692,0.0866434,0,0.37559588,0.0433217,0.77653333,1.11161503,0.15162595,0.0866434,0.02166085,0.40624679,1.2030635,0.02166085,0.09931418,0.06498255,0,0,0.02166085,0.17696752,0.16429673,0.02166085,0,0,0.06498255,0.02166085,0.40943538,0.02166085,0.30162327,1.78984073,0.02166085,0.0866434,-0.261840531707555,-0.510671011531106,-0.94723245626181,-0.971199477335349,-0.678500935626473,-0.902146186551298,-0.867220064045353,-0.208370935164859,-0.227568088901359,-0.0554616665672521,0.141434330749166,-0.755753587877931,0.492429825287681,-0.420867007107331,-0.498272230630139,0.272310569148074
"Cell_type_sub|S0520T|DC-CLEC9A","Cell_type_sub","S0520T","DC-CLEC9A","Myeloid","DC-CLEC9A","Tumor","Chemotherapy",1,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0,0,0,0,3.4657359,0,0,0,0.69314718,0.69314718,0,0,0,0,0,0,0,0,0.69314718,0,0,0,0,0,0,0.69314718,0,0,0,0.69314718,0,0,0,0,0,0,0,0,2.19722458,0,0,0.69314718,0,0,0.69314718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436,0,0.69314718,0,0,0,0.69314718,0,0,0,0,0,0,0.69314718,0,0.69314718,0,0,0.69314718,0.69314718,0.69314718,0,0,0.69314718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60943791,0,0,2.39789527,0,0,-0.435831743719795,-1.15060458977272,-1.23328640182027,-0.329233447604594,-1.11248215703772,-0.969838100742303,-0.389763810054352,-0.0885577800994335,-0.150516215995553,0.136842408987977,-0.536504015868034,-1.35272098824441,0.59151545919454,-0.721652982808944,-0.533228264242467,-0.66629608940158
"Cell_type_sub|S0520T|DC-LAMP3","Cell_type_sub","S0520T","DC-LAMP3","Myeloid","DC-LAMP3","Tumor","Chemotherapy",3,0,0,0,0,0,0,0,0,0,0.23104906,0,0,0.23104906,0.23104906,0,0,0.23104906,2.56691593,0,0,0,0,0.46209812,0.46209812,0,0,0.23104906,0.23104906,0,0,0.23104906,0,0,0,0,0,0,0,0.23104906,0,0,0,0.23104906,0.23104906,0,0,0,0,0,0,0,1.56071041,0,0,0.23104906,0,0.46209812,0.23104906,0.46209812,0,0,0,0,0,0.69314718,0,0,0,0,0,0,0.5364793,0,0,0,0,0,0,0,0,0.82830222,0,0,0,0,0,0.46209812,0,0,0,0,0,0,0,0,0,0.96345725,0,0.69314718,1.61734342,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0.23104906,0,0,0,0,0,2.08969876,0,0,1.19450631,0,0.23104906,-0.435831743719795,-1.15060458977272,-1.23328640182027,-0.329233447604594,-1.11248215703772,-1.05014618744593,-0.415246612469197,-0.337517579554687,-0.303681186977239,-0.193341660374828,-0.861891608404027,-0.938265779073524,-0.128448749829819,-0.721652982808944,-0.533228264242467,-0.66629608940158
"Cell_type_sub|S0520T|Early Tem-GZMK","Cell_type_sub","S0520T","Early Tem-GZMK","T cell","Early Tem-GZMK","Tumor","Chemotherapy",3,0,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0.23104906,0.92419624,0,0,0,0.59725316,0.46209812,0.46209812,0,0,0,0,0,0,0,0.59725316,0.23104906,0,0,0,0,0,0,0,0,0,0.46209812,0.23104906,0,0,0,0,0,0,0,0,0.46209812,0,0.23104906,0,0,0.46209812,0.23104906,0.3662041,0,0,0,0,0,0,0.23104906,0,0,0,0,0.23104906,0,0.23104906,0,0,0,0,0,0,0.46209812,0,0,0,0,0.46209812,0.59725316,0,0.23104906,0,0,0,0,0.23104906,0,0,0.59725316,0.23104906,0.23104906,1.32966135,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23104906,0,0.23104906,0.69314718,0,0.82830222,-0.435831743719795,-0.723982210433171,-1.23328640182027,-0.155076429779022,-0.944164265755554,-1.16358054933109,-1.04825993440415,-0.329694686943558,-0.269001081530076,-0.0242420156859806,-1.07543990404097,-0.978430636975684,-0.68153015043997,-0.721652982808944,0.285204320595407,-0.578302191932983
"Cell_type_sub|S0520T|EC-CCL14","Cell_type_sub","S0520T","EC-CCL14","Endothelial","EC-CCL14","Tumor","Chemotherapy",1,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0.69314718,0,0,0,0,0,0,0,1.09861229,1.38629436,1.60943791,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0,0,0,0,0,0.69314718,0,0,0,0,0,0,0,0,1.09861229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0,0.69314718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0,0,0.69314718,0.69314718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69314718,1.38629436,0,0,-0.435831743719795,-1.15060458977272,-1.23328640182027,-1.22240358601012,-1.11248215703772,-1.10148530604511,-0.944453085190585,0.0498360345717795,0.105940406123669,0.689696567243841,-0.940705931997735,-1.35272098824441,-1.60865146423653,-0.721652982808944,-0.533228264242467,-0.66629608940158
"Cell_type_sub|S0520T|EC-FLT1","Cell_type_sub","S0520T","EC-FLT1","Endothelial","EC-FLT1","Tumor","Chemotherapy",19,0.07296286,0.03648143,0,0,0,0,0.07296286,0,0.25537001,0.10944429,0.29805055,0.21888858,0.89349784,0.6195899,0,0,0.0578217,0.59461843,0,0,0.07296286,0.93278161,0.81224674,0.74757212,0.03648143,0.15767012,0.76808352,0.10944429,0.03648143,0,0.29347101,0.62638343,0.10944429,0,0,0.07296286,0.13078456,0.03648143,0.03648143,0.38275781,0,0.16726599,0.75377122,0,0.03648143,0,0.03648143,0.13078456,0,0.14592572,0.07296286,0.14592572,0,0,0.14592572,0,0,1.31810732,0.53125144,0,0,0,0,0.03648143,0.67460925,0.12118869,0.76551562,0.66286486,0.20374742,1.17624422,0.4804577,1.74644333,0,0.10944429,0.03648143,0.10944429,0.876874,0,0.29805055,0,0.55961967,0,0.63812782,0,0.14592572,0,0.4804577,0.09430313,0.16726599,0,0.10944429,0.47706094,0,0.81159292,0.4804577,0,0.16726599,0,0.49774739,0.75813373,0.33453198,0.14592572,0.38697058,0.33453198,0.03648143,0.03648143,0.14592572,0.07296286,0.14592572,0.03648143,0,0.45911744,0.10944429,0.48880534,0,0.07296286,0,0,0.16726599,0.03648143,0.09430313,2.06741798,0,0.10944429,-0.435831743719795,-0.417884448743733,-0.869166033294523,-0.893340908187035,-0.679739078892327,-0.47958873581407,-0.852722588498502,0.0913708424454518,0.118354108427545,0.233566201285222,-0.926627407978677,0.929523953957424,-0.893518167239083,-0.721652982808944,-0.533228264242467,-0.477549698689874
"Cell_type_sub|S0520T|EC-MKI67","Cell_type_sub","S0520T","EC-MKI67","Endothelial","EC-MKI67","Tumor","Chemotherapy",1,0,0,0,0,0,0,0,0,0.69314718,0.69314718,1.60943791,1.60943791,1.94591015,1.94591015,0,0,0,0,0,0,0,1.09861229,1.09861229,1.38629436,0,0,1.09861229,0.69314718,1.09861229,0,1.79175947,0,0,0,0,0,0,0,0,0.69314718,0,0,2.48490665,0,0,0,0,0,0,0,0,1.79175947,0,0,0,0,0,2.48490665,1.09861229,0,0,0,0,0,1.09861229,0,1.09861229,1.09861229,1.09861229,2.19722458,1.38629436,3.09104245,0,0,0,0,2.63905733,0,0,0,2.48490665,0,0,0,0,0,1.09861229,0.69314718,0.69314718,0,1.09861229,2.48490665,0,1.94591015,1.09861229,0.69314718,1.09861229,0,1.94591015,2.63905733,1.94591015,0,0,1.38629436,0,0,0.69314718,0,0,0,1.60943791,0,0,0.69314718,0,0.69314718,0,0,1.79175947,0,0,3.76120012,0,0.69314718,-0.435831743719795,0.975208710934004,-0.368500514095404,0.563936690800934,0.0674169140007587,0.710232316036768,-0.200069650148519,0.625538635928024,0.719028058963726,0.951201913571318,0.104140865211391,2.84469045784998,-1.60865146423653,-0.721652982808944,-0.533228264242467,-0.66629608940158
"Cell_type_sub|S0520T|EC-PDPN","Cell_type_sub","S0520T","EC-PDPN","Endothelial","EC-PDPN","Tumor","Chemotherapy",19,0,0.03648143,0.03648143,0,0.03648143,0.03648143,0.03648143,0.03648143,0.40749484,0.12118869,0.18240715,0.18240715,1.4141396,0.64069573,0,0,0.07296286,0,0,0,0.24642796,0.75102828,0.72688566,0.58095994,0.10944429,0.5382794,0.98780097,0.10944429,0.34627638,0,0.10944429,0,0.24022885,0.03648143,0,0.07296286,0.03648143,0.10944429,0.07296286,0.03648143,0,0.31319171,1.70831703,0,0.03648143,0,0.03648143,0,0,0,0.03648143,0.54042793,0,0.03648143,0.13078456,0.09430313,0.14592572,1.28973909,0.75014002,0,0,0,0,0.03648143,0.589902,0,0.51354237,0.60504316,0.07296286,0.92724835,0.41923924,1.41860054,0,0.14592572,0,0.03648143,0.57476083,0.03648143,0.09430313,0.03648143,1.92463538,0.20374742,1.04627648,0.56516496,0.16726599,0,1.05099291,0.03648143,0.03648143,0,0.31319171,0.28482348,0.03648143,0.84807435,0.28290939,0.03648143,0.63878164,0,1.10476403,1.62937593,0.38615457,0.03648143,0,0.65500803,0.03648143,0.14592572,0.22508769,0.07296286,0,0.07296286,0,0.62298666,0,0.67312658,0,0.07296286,0.0578217,0,1.22745732,0.13078456,0.07296286,2.6555186,0,0.03648143,-0.281013755450511,-0.712755312030539,-0.542826562879869,-0.925216355633624,-0.606242308844961,-0.31619291954704,-0.647655304277459,0.269604627278769,0.21172975545712,0.347340304051558,-0.20130199466906,0.457095299292592,-1.55075233550786,-0.609078119582431,-0.533228264242467,-0.186006845856149
