requested_gene,canonical_gene,target_group,samples_with_feature,observed_symbols,covered
TMEM158,TMEM158,lead_candidate,7,TMEM158,True
CORO1C,CORO1C,lead_candidate,7,CORO1C,True
ATP2B4,ATP2B4,lead_candidate,7,ATP2B4,True
TMEM132A,TMEM132A,lead_candidate,7,TMEM132A,True
ABCC1,ABCC1,lead_candidate,7,ABCC1,True
STIM1,STIM1,ca2_core,7,STIM1,True
ORAI1,ORAI1,ca2_core,7,ORAI1,True
ATP2A2,ATP2A2,ca2_core,7,ATP2A2,True
ITPR1,ITPR1,ca2_core,7,ITPR1,True
ITPR2,ITPR2,ca2_core,7,ITPR2,True
ITPR3,ITPR3,ca2_core,7,ITPR3,True
EIF2AK3,EIF2AK3,upr,7,EIF2AK3,True
ATF4,ATF4,upr,7,ATF4,True
DDIT3,DDIT3,upr,7,DDIT3,True
ERN1,ERN1,upr,7,ERN1,True
XBP1,XBP1,upr,7,XBP1,True
ATF6,ATF6,upr,7,ATF6,True
HSPA5,HSPA5,proteostasis_biogenesis,7,HSPA5,True
HSP90B1,HSP90B1,proteostasis_biogenesis,7,HSP90B1,True
CANX,CANX,proteostasis_biogenesis,7,CANX,True
CALR,CALR,proteostasis_biogenesis,7,CALR,True
PDIA3,PDIA3,proteostasis_biogenesis,7,PDIA3,True
PDIA4,PDIA4,proteostasis_biogenesis,7,PDIA4,True
DNAJB9,DNAJB9,proteostasis_biogenesis,7,DNAJB9,True
HERPUD1,HERPUD1,proteostasis_biogenesis,7,HERPUD1,True
PPP1R15A,PPP1R15A,proteostasis_biogenesis,7,PPP1R15A,True
SEL1L,SEL1L,proteostasis_biogenesis,7,SEL1L,True
EDEM1,EDEM1,proteostasis_biogenesis,7,EDEM1,True
SYVN1,SYVN1,proteostasis_biogenesis,7,SYVN1,True
DERL3,DERL3,proteostasis_biogenesis,7,DERL3,True
SEC61A1,SEC61A1,proteostasis_biogenesis,7,SEC61A1,True
SRP54,SRP54,proteostasis_biogenesis,7,SRP54,True
RPLP0,RPLP0,proteostasis_biogenesis,7,RPLP0,True
RPS3,RPS3,proteostasis_biogenesis,7,RPS3,True
NPM1,NPM1,proteostasis_biogenesis,7,NPM1,True
MYC,MYC,proteostasis_biogenesis,7,MYC,True
ABCC1,ABCC1,transport_efflux,7,ABCC1,True
ABCC2,ABCC2,transport_efflux,7,ABCC2,True
ABCC3,ABCC3,transport_efflux,7,ABCC3,True
ABCG2,ABCG2,transport_efflux,7,ABCG2,True
ABCB1,ABCB1,transport_efflux,7,ABCB1,True
SLC7A11,SLC7A11,transport_efflux,7,SLC7A11,True
GCLC,GCLC,transport_efflux,7,GCLC,True
GCLM,GCLM,transport_efflux,7,GCLM,True
GSR,GSR,transport_efflux,7,GSR,True
GPX1,GPX1,transport_efflux,1,GPX1,True
GPX8,GPX8,transport_efflux,7,GPX8,True
NQO1,NQO1,transport_efflux,7,NQO1,True
HMOX1,HMOX1,transport_efflux,7,HMOX1,True
TXN,TXN,transport_efflux,7,TXN,True
TXNRD1,TXNRD1,transport_efflux,7,TXNRD1,True
SOD2,SOD2,transport_efflux,7,SOD2,True
GSTP1,GSTP1,transport_efflux,7,GSTP1,True
POSTN,POSTN,tac_high_meta_ecm,7,POSTN,True
COL6A3,COL6A3,tac_high_meta_ecm,7,COL6A3,True
COL1A2,COL1A2,tac_high_meta_ecm,7,COL1A2,True
