compartment,gene,observed
Epithelial,ACKR3,True
Epithelial,ACVR1B,True
Epithelial,ACVR2A,True
Epithelial,AXL,True
Epithelial,CCL2,True
Epithelial,CCR2,False
Epithelial,CD44,True
Epithelial,CD47,True
Epithelial,CD74,True
Epithelial,COL1A1,True
Epithelial,COL1A2,True
Epithelial,COL3A1,True
Epithelial,COL6A1,True
Epithelial,COL6A2,True
Epithelial,COL6A3,True
Epithelial,CXCL12,True
Epithelial,CXCR4,True
Epithelial,FGF2,True
Epithelial,FGF7,True
Epithelial,FGFR1,True
Epithelial,FGFR2,True
Epithelial,FLT1,True
Epithelial,FN1,True
Epithelial,FZD2,True
Epithelial,FZD5,True
Epithelial,GAS6,True
Epithelial,HGF,True
Epithelial,IL6,True
Epithelial,IL6R,True
Epithelial,IL6ST,True
Epithelial,INHBA,True
Epithelial,ITGA1,True
Epithelial,ITGA2,True
Epithelial,ITGA5,True
Epithelial,ITGA6,True
Epithelial,ITGA9,True
Epithelial,ITGAV,True
Epithelial,ITGB1,True
Epithelial,ITGB3,True
Epithelial,ITGB4,True
Epithelial,JAG1,True
Epithelial,KDR,True
Epithelial,LAMA4,True
Epithelial,LAMB1,True
Epithelial,LAMC1,True
Epithelial,LIF,True
Epithelial,LIFR,True
Epithelial,MET,True
Epithelial,MIF,True
Epithelial,NOTCH1,True
Epithelial,NOTCH2,True
Epithelial,NRP1,True
Epithelial,OSM,True
Epithelial,OSMR,True
Epithelial,PDGFA,True
Epithelial,PDGFB,True
Epithelial,PDGFRA,True
Epithelial,PDGFRB,True
Epithelial,POSTN,True
Epithelial,ROR2,True
Epithelial,SPP1,True
Epithelial,TGFB1,True
Epithelial,TGFB2,True
Epithelial,TGFB3,True
Epithelial,TGFBR1,True
Epithelial,TGFBR2,True
Epithelial,TGFBR3,True
Epithelial,THBS1,True
Epithelial,THBS2,True
Epithelial,TNC,True
Epithelial,VEGFA,True
Epithelial,WNT5A,True
Fibroblast,ACKR3,True
Fibroblast,ACVR1B,True
Fibroblast,ACVR2A,True
Fibroblast,AXL,True
Fibroblast,CCL2,True
Fibroblast,CCR2,False
Fibroblast,CD44,True
Fibroblast,CD47,True
Fibroblast,CD74,True
Fibroblast,COL1A1,True
Fibroblast,COL1A2,True
Fibroblast,COL3A1,True
Fibroblast,COL6A1,True
Fibroblast,COL6A2,True
Fibroblast,COL6A3,True
Fibroblast,CXCL12,True
Fibroblast,CXCR4,True
Fibroblast,FGF2,True
Fibroblast,FGF7,True
Fibroblast,FGFR1,True
Fibroblast,FGFR2,True
Fibroblast,FLT1,True
Fibroblast,FN1,True
Fibroblast,FZD2,True
Fibroblast,FZD5,True
Fibroblast,GAS6,True
Fibroblast,HGF,True
Fibroblast,IL6,True
Fibroblast,IL6R,True
Fibroblast,IL6ST,True
Fibroblast,INHBA,True
Fibroblast,ITGA1,True
Fibroblast,ITGA2,True
Fibroblast,ITGA5,True
Fibroblast,ITGA6,True
Fibroblast,ITGA9,True
Fibroblast,ITGAV,True
Fibroblast,ITGB1,True
Fibroblast,ITGB3,True
Fibroblast,ITGB4,True
Fibroblast,JAG1,True
Fibroblast,KDR,True
Fibroblast,LAMA4,True
Fibroblast,LAMB1,True
Fibroblast,LAMC1,True
Fibroblast,LIF,True
Fibroblast,LIFR,True
Fibroblast,MET,True
Fibroblast,MIF,True
Fibroblast,NOTCH1,True
Fibroblast,NOTCH2,True
Fibroblast,NRP1,True
Fibroblast,OSM,True
Fibroblast,OSMR,True
Fibroblast,PDGFA,True
Fibroblast,PDGFB,True
Fibroblast,PDGFRA,True
Fibroblast,PDGFRB,True
Fibroblast,POSTN,True
Fibroblast,ROR2,True
Fibroblast,SPP1,True
Fibroblast,TGFB1,True
Fibroblast,TGFB2,True
Fibroblast,TGFB3,True
Fibroblast,TGFBR1,True
Fibroblast,TGFBR2,True
Fibroblast,TGFBR3,True
Fibroblast,THBS1,True
Fibroblast,THBS2,True
Fibroblast,TNC,True
Fibroblast,VEGFA,True
Fibroblast,WNT5A,True
