sample,condition,compartment,n_cells,gene,mean_log1p_cp10k,pct_positive,observed
P104T,Tumor,Epithelial,81,ACKR3,0.0,0.0,True
P107T,Tumor,Epithelial,440,ACKR3,0.061238023672591554,0.15454545454545454,True
P10T,Tumor,Epithelial,684,ACKR3,0.10340650364408019,0.16374269005847952,True
P11T,Tumor,Epithelial,95,ACKR3,0.14787126622701946,0.25263157894736843,True
P126N,Adjacent_normal,Epithelial,24,ACKR3,0.0,0.0,True
P126T,Tumor,Epithelial,100,ACKR3,0.10686954379081726,0.14,True
P127N,Adjacent_normal,Epithelial,123,ACKR3,0.04388551910718282,0.04878048780487805,True
P127T,Tumor,Epithelial,1590,ACKR3,0.02037221022746848,0.03018867924528302,True
P128N,Adjacent_normal,Epithelial,16,ACKR3,0.17263353615999222,0.125,True
P128T,Tumor,Epithelial,456,ACKR3,0.007084146485124764,0.02412280701754386,True
P12T,Tumor,Epithelial,848,ACKR3,0.23393671727686557,0.32075471698113206,True
P130N,Adjacent_normal,Epithelial,20,ACKR3,0.0,0.0,True
P130T,Tumor,Epithelial,464,ACKR3,0.0907133901812907,0.23275862068965517,True
P15T,Tumor,Epithelial,758,ACKR3,0.12831395496872294,0.21899736147757257,True
P16T,Tumor,Epithelial,2341,ACKR3,0.0009425665669235497,0.0008543357539513029,True
P17T,Tumor,Epithelial,224,ACKR3,0.02687616486634527,0.04017857142857143,True
P19T,Tumor,Epithelial,182,ACKR3,0.01725276666028159,0.027472527472527472,True
P1T,Tumor,Epithelial,244,ACKR3,0.04368755013727751,0.08196721311475409,True
P20T,Tumor,Epithelial,469,ACKR3,0.010901507665353543,0.019189765458422176,True
P21T,Tumor,Epithelial,643,ACKR3,0.04977101748041565,0.104199066874028,True
P22T,Tumor,Epithelial,590,ACKR3,0.04533043768951448,0.07966101694915254,True
P23T,Tumor,Epithelial,951,ACKR3,0.10748712698900612,0.21556256572029442,True
P24T,Tumor,Epithelial,1716,ACKR3,0.010423196892152022,0.015151515151515152,True
P26T,Tumor,Epithelial,1292,ACKR3,0.08012472620181993,0.1563467492260062,True
P27T,Tumor,Epithelial,1710,ACKR3,0.04141055840497825,0.06549707602339182,True
P28T,Tumor,Epithelial,1377,ACKR3,0.041937231454800765,0.07697893972403776,True
P2T,Tumor,Epithelial,1538,ACKR3,0.006692607144695575,0.013003901170351105,True
P30T,Tumor,Epithelial,392,ACKR3,0.11410374758879141,0.2780612244897959,True
