"category","ligand","receptor","pair_id","pair_label"
"ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV"
"ECM_integrin","POSTN","ITGB3","POSTN_ITGB3","POSTN->ITGB3"
"ECM_integrin","POSTN","ITGA5","POSTN_ITGA5","POSTN->ITGA5"
"ECM_integrin","POSTN","ITGB1","POSTN_ITGB1","POSTN->ITGB1"
"ECM_integrin","COL1A1","ITGA1","COL1A1_ITGA1","COL1A1->ITGA1"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1"
"ECM_integrin","COL1A1","ITGA2","COL1A1_ITGA2","COL1A1->ITGA2"
"ECM_integrin","COL1A2","ITGA2","COL1A2_ITGA2","COL1A2->ITGA2"
"ECM_integrin","COL3A1","ITGA2","COL3A1_ITGA2","COL3A1->ITGA2"
"ECM_integrin","COL6A1","ITGA2","COL6A1_ITGA2","COL6A1->ITGA2"
"ECM_integrin","COL6A2","ITGA2","COL6A2_ITGA2","COL6A2->ITGA2"
"ECM_integrin","COL6A3","ITGA2","COL6A3_ITGA2","COL6A3->ITGA2"
"ECM_integrin","COL1A1","ITGB1","COL1A1_ITGB1","COL1A1->ITGB1"
"ECM_integrin","COL1A2","ITGB1","COL1A2_ITGB1","COL1A2->ITGB1"
"ECM_integrin","COL3A1","ITGB1","COL3A1_ITGB1","COL3A1->ITGB1"
"ECM_integrin","COL6A1","ITGB1","COL6A1_ITGB1","COL6A1->ITGB1"
"ECM_integrin","COL6A2","ITGB1","COL6A2_ITGB1","COL6A2->ITGB1"
"ECM_integrin","COL6A3","ITGB1","COL6A3_ITGB1","COL6A3->ITGB1"
"ECM_integrin","FN1","ITGA5","FN1_ITGA5","FN1->ITGA5"
"ECM_integrin","FN1","ITGB1","FN1_ITGB1","FN1->ITGB1"
"ECM_integrin","FN1","ITGAV","FN1_ITGAV","FN1->ITGAV"
"ECM_integrin","FN1","ITGB3","FN1_ITGB3","FN1->ITGB3"
"ECM_integrin","SPP1","CD44","SPP1_CD44","SPP1->CD44"
"ECM_integrin","SPP1","ITGAV","SPP1_ITGAV","SPP1->ITGAV"
"ECM_integrin","SPP1","ITGB1","SPP1_ITGB1","SPP1->ITGB1"
"ECM_integrin","THBS1","CD47","THBS1_CD47","THBS1->CD47"
"ECM_integrin","THBS2","CD47","THBS2_CD47","THBS2->CD47"
"ECM_integrin","THBS1","ITGB1","THBS1_ITGB1","THBS1->ITGB1"
"ECM_integrin","THBS2","ITGB1","THBS2_ITGB1","THBS2->ITGB1"
"ECM_integrin","TNC","ITGA9","TNC_ITGA9","TNC->ITGA9"
"ECM_integrin","TNC","ITGB1","TNC_ITGB1","TNC->ITGB1"
"Laminin_integrin","LAMB1","ITGA6","LAMB1_ITGA6","LAMB1->ITGA6"
"Laminin_integrin","LAMC1","ITGA6","LAMC1_ITGA6","LAMC1->ITGA6"
"Laminin_integrin","LAMA4","ITGA6","LAMA4_ITGA6","LAMA4->ITGA6"
"Laminin_integrin","LAMB1","ITGB4","LAMB1_ITGB4","LAMB1->ITGB4"
"Laminin_integrin","LAMC1","ITGB4","LAMC1_ITGB4","LAMC1->ITGB4"
"Laminin_integrin","LAMA4","ITGB4","LAMA4_ITGB4","LAMA4->ITGB4"
"TGF_beta_activin","TGFB1","TGFBR1","TGFB1_TGFBR1","TGFB1->TGFBR1"
"TGF_beta_activin","TGFB2","TGFBR1","TGFB2_TGFBR1","TGFB2->TGFBR1"
"TGF_beta_activin","TGFB3","TGFBR1","TGFB3_TGFBR1","TGFB3->TGFBR1"
"TGF_beta_activin","TGFB1","TGFBR2","TGFB1_TGFBR2","TGFB1->TGFBR2"
"TGF_beta_activin","TGFB2","TGFBR2","TGFB2_TGFBR2","TGFB2->TGFBR2"
"TGF_beta_activin","TGFB3","TGFBR2","TGFB3_TGFBR2","TGFB3->TGFBR2"
"TGF_beta_activin","TGFB1","TGFBR3","TGFB1_TGFBR3","TGFB1->TGFBR3"
"TGF_beta_activin","TGFB2","TGFBR3","TGFB2_TGFBR3","TGFB2->TGFBR3"
"TGF_beta_activin","TGFB3","TGFBR3","TGFB3_TGFBR3","TGFB3->TGFBR3"
"TGF_beta_activin","INHBA","ACVR1B","INHBA_ACVR1B","INHBA->ACVR1B"
"TGF_beta_activin","INHBA","ACVR2A","INHBA_ACVR2A","INHBA->ACVR2A"
"IL6_family","IL6","IL6R","IL6_IL6R","IL6->IL6R"
"IL6_family","IL6","IL6ST","IL6_IL6ST","IL6->IL6ST"
"IL6_family","LIF","LIFR","LIF_LIFR","LIF->LIFR"
"IL6_family","LIF","IL6ST","LIF_IL6ST","LIF->IL6ST"
"IL6_family","OSM","OSMR","OSM_OSMR","OSM->OSMR"
"IL6_family","OSM","IL6ST","OSM_IL6ST","OSM->IL6ST"
"Chemokine","CXCL12","CXCR4","CXCL12_CXCR4","CXCL12->CXCR4"
"Chemokine","CXCL12","ACKR3","CXCL12_ACKR3","CXCL12->ACKR3"
"Chemokine","CCL2","CCR2","CCL2_CCR2","CCL2->CCR2"
"MIF_SPP1_axis","MIF","CD74","MIF_CD74","MIF->CD74"
