"sample","ecology_subtype","TAC_high_group","category","ligand","receptor","pair_id","pair_label","fibroblast_ligand_expr","epithelial_receptor_expr","lr_score","cohigh_score"
"P104T","TAC_high","High","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",2.67447014153004,0.183873063068331,0.165839166388461,-0.778861524979003
"P107T","Axis_only","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",1.08296840313603,0.180078867179426,-0.756812141031055,-0.811255700736642
"P10T","TAC_high","High","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",3.10342732673008,0.240897007155837,0.653585805608144,-0.292001141052528
"P11T","TAC_low","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",1.51102579538068,0.315333138170995,0.0643803843202564,-0.214760657255848
"P126T","TAC_high","High","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",2.03315417211631,0.270584244057536,0.170734241607218,-0.0385367448771593
"P127T","CAF_only","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",2.61104347176022,0.305448496444795,0.648708743567862,0.259128097044737
"P128T","TAC_low","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",0.609812610275377,0.199979011361536,-0.941350343541029,-1.24134890989421
"P12T","Axis_only","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",1.89564820763242,0.331252723615968,0.351404867696821,0.223369694857155
"P130T","CAF_only","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",3.20833041577575,0.371229762789504,1.26971335740766,0.820756954890998
"P15T","TAC_high","High","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",1.54896794581993,0.253736197201432,-0.176961233136944,-0.182382399400579
"P16T","Axis_only","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",1.90193602442741,0.203293887539482,-0.191258843925968,-0.613049948640405
"P17T","CAF_only","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",1.49273418816994,0.155990855967892,-0.626255926496708,-1.01691489485476
"P19T","CAF_only","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",2.26521345385832,0.141017941082572,-0.250201423260515,-1.14475100311095
"P1T","TAC_low","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",1.53342505050944,0.154497139583357,-0.609456621173397,-1.02966798207257
"P20T","TAC_low","Low","ECM_integrin","POSTN","ITGAV","POSTN_ITGAV","POSTN->ITGAV",0.812514394216048,0.294399816789098,-0.422825610522257,-1.01044763856181
