"comparison","x","y","n","rho","p.value","FDR"
"TMEM158_log2CNA vs TMEM158","TMEM158_log2CNA","TMEM158",181,-0.236887081430885,0.00132396259638168,0.00529585038552673
"TMEM158_log2CNA vs core_axis_state_score","TMEM158_log2CNA","core_axis_state_score",181,-0.257252748835321,0.000472235921876436,0.00251859158334101
"TMEM158_log2CNA vs perk_caf_ecology_score","TMEM158_log2CNA","perk_caf_ecology_score",181,-0.320568967677875,1.08446808559368e-05,0.000173514893694991
"TMEM158_log2CNA vs full_axis_ecology_score","TMEM158_log2CNA","full_axis_ecology_score",181,-0.263522442819027,0.000337936637564837,0.00251859158334101
"TMEM158_log2CNA vs CAF_score","TMEM158_log2CNA","CAF_score",181,-0.142027389955623,0.0564914988889855,0.0984335213367726
"TMEM158_log2CNA vs Proteostasis_score","TMEM158_log2CNA","Proteostasis_score",181,0.0824197618894215,0.270009750788702,0.332319693278402
"TMEM158_log2CNA vs Survival_score","TMEM158_log2CNA","Survival_score",181,0.0339905246298702,0.649642535375137,0.69295203773348
"TMEM158_log2CNA vs Drug_efflux_score","TMEM158_log2CNA","Drug_efflux_score",181,-0.0436520866305847,0.559564660767996,0.639502469449139
"TMEM158_CNA_loss_score vs TMEM158","TMEM158_CNA_loss_score","TMEM158",181,0.236887081430885,0.00132396259638167,0.00529585038552673
"TMEM158_CNA_loss_score vs core_axis_state_score","TMEM158_CNA_loss_score","core_axis_state_score",181,0.257252748835321,0.000472235921876439,0.00251859158334101
"TMEM158_CNA_loss_score vs perk_caf_ecology_score","TMEM158_CNA_loss_score","perk_caf_ecology_score",181,0.320568967677875,1.08446808559369e-05,0.000173514893694991
"TMEM158_CNA_loss_score vs full_axis_ecology_score","TMEM158_CNA_loss_score","full_axis_ecology_score",181,0.263522442819027,0.000337936637564835,0.00251859158334101
"TMEM158_CNA_loss_score vs CAF_score","TMEM158_CNA_loss_score","CAF_score",181,0.142027389955623,0.0564914988889853,0.0984335213367726
"TMEM158_CNA_loss_score vs Proteostasis_score","TMEM158_CNA_loss_score","Proteostasis_score",181,-0.0824197618894215,0.270009750788701,0.332319693278402
"TMEM158_CNA_loss_score vs Survival_score","TMEM158_CNA_loss_score","Survival_score",181,-0.0339905246298702,0.649642535375137,0.69295203773348
"TMEM158_CNA_loss_score vs Drug_efflux_score","TMEM158_CNA_loss_score","Drug_efflux_score",181,0.0436520866305847,0.559564660767997,0.639502469449139
"TMEM158_promoter_methylation vs TMEM158","TMEM158_promoter_methylation","TMEM158",181,0.182465144353021,0.0139524603575982,0.0405889755857402
"TMEM158_promoter_methylation vs core_axis_state_score","TMEM158_promoter_methylation","core_axis_state_score",181,0.186549558187608,0.0119203758046639,0.0381452025749244
"TMEM158_promoter_methylation vs perk_caf_ecology_score","TMEM158_promoter_methylation","perk_caf_ecology_score",181,0.177758327157206,0.0166647084452026,0.0425666084296931
"TMEM158_promoter_methylation vs full_axis_ecology_score","TMEM158_promoter_methylation","full_axis_ecology_score",181,0.176764659008972,0.0172926846745628,0.0425666084296931
"TMEM158_promoter_methylation vs CAF_score","TMEM158_promoter_methylation","CAF_score",181,0.0849727930223334,0.255400315207362,0.332319693278402
"TMEM158_promoter_methylation vs Proteostasis_score","TMEM158_promoter_methylation","Proteostasis_score",181,-0.103199823932858,0.16682231653263,0.266915706452208
"TMEM158_promoter_methylation vs Survival_score","TMEM158_promoter_methylation","Survival_score",181,-0.0110446922993602,0.882685147421699,0.911158861854657
"TMEM158_promoter_methylation vs Drug_efflux_score","TMEM158_promoter_methylation","Drug_efflux_score",181,0.191694978283095,0.00973382043421366,0.0346091393216486
"TMEM158_methylation_mean_all_probes vs TMEM158","TMEM158_methylation_mean_all_probes","TMEM158",181,0.0968068022796103,0.19482867570582,0.279537228466826
"TMEM158_methylation_mean_all_probes vs core_axis_state_score","TMEM158_methylation_mean_all_probes","core_axis_state_score",181,0.140930524355939,0.0584449032937087,0.0984335213367726
"TMEM158_methylation_mean_all_probes vs perk_caf_ecology_score","TMEM158_methylation_mean_all_probes","perk_caf_ecology_score",181,0.145718737983931,0.0503094732930894,0.0984335213367726
"TMEM158_methylation_mean_all_probes vs full_axis_ecology_score","TMEM158_methylation_mean_all_probes","full_axis_ecology_score",181,0.14622670147532,0.0495045251221891,0.0984335213367726
"TMEM158_methylation_mean_all_probes vs CAF_score","TMEM158_methylation_mean_all_probes","CAF_score",181,0.098702770525975,0.186188003037668,0.279537228466826
"TMEM158_methylation_mean_all_probes vs Proteostasis_score","TMEM158_methylation_mean_all_probes","Proteostasis_score",181,-0.0955072551757635,0.200917382960532,0.279537228466826
"TMEM158_methylation_mean_all_probes vs Survival_score","TMEM158_methylation_mean_all_probes","Survival_score",181,-0.0014449638759031,0.98459753380403,0.98459753380403
"TMEM158_methylation_mean_all_probes vs Drug_efflux_score","TMEM158_methylation_mean_all_probes","Drug_efflux_score",181,0.16391030700423,0.0274650673289645,0.0627772967519188
