gene_symbol,target_groups,requested,matched_probe_features,matched,annotation_versions,method,raw_probe_features_with_sequence,source_raw_agilent_file
TMEM158,lead_candidate,yes,2,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
STIM1,ca2_axis,yes,6,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ORAI1,ca2_axis,yes,0,no,,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ATP2A2,ca2_axis,yes,6,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ITPR1,ca2_axis,yes,2,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ITPR2,ca2_axis,yes,4,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ITPR3,ca2_axis,yes,2,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
EIF2AK3,upr_perk,yes,2,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
ATF4,upr_perk,yes,2,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
DDIT3,upr_perk,yes,6,yes,GENCODE_v19;GENCODE_v36,probe_sequence_reannotation_with_GENCODE_v19_v36_pc_transcripts,150920,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/SMIM14_CaUPR_ESCC/data/raw/GSM1296956_GSE53625_raw.txt.gz
