"item","value"
"module_status","completed"
"uniprot_results","1"
"uniprot_reviewed_accession","Q8WZ71"
"hpa_ensembl","ENSG00000249992"
"quickgo_cellular_component_rows","1"
"uniprot_cellular_component_rows","1"
"hpa_single_cell_rows","8"
"membrane_support","1"
"er_direct_support","0"
"hpa_subcellular_available","0"
"hpa_ih_approved","1"
"interpretation","public_membrane_protein_context_not_escc_localization_or_causal_proof"
"module_status_final","completed"
"figure11_generated","TRUE"
"report_generated","TRUE"
"main_interpretation","membrane_protein_plausibility_and_antibody_context_not_er_or_escc_protein_validation"
