"item","value"
"module_status","completed"
"bulk_datasets","4"
"expression_matched_genes","12380"
"expression_matched_tumor_samples","238"
"caf_adjusted_limma_completed_cohorts","4"
"caf_adjusted_positive_genes_meta_FDR_0.10","1944"
"caf_adjusted_negative_genes_meta_FDR_0.10","672"
"top_caf_adjusted_gene","CHST7"
"top_caf_adjusted_positive_gene","CHST7"
"top_caf_adjusted_pathway","HALLMARK_MYC_TARGETS_V1"
"custom_er_proteostasis_FDR","0.289737715680994"
"custom_drug_efflux_transport_FDR","0.254401687548704"
"custom_caf_ecm_FDR","0.373713945800344"
"score_TAC_vs_CAF_only_proteostasis_meta_FDR","0.410124197251879"
"score_TAC_vs_CAF_only_drug_efflux_meta_FDR","0.332397249231485"
"core_axis_adjusted_for_CAF_proteostasis_meta_FDR","0.526510338479054"
"core_axis_adjusted_for_CAF_drug_efflux_meta_FDR","0.00434690401476792"
"interpretation","CAF/stromal adjustment tests whether TAC_high retains axis-linked signal beyond continuous CAF abundance; association only"
