"item","value"
"module_status","completed"
"gse160269_compartments","Epithelial;Fibroblast;Myeloid;Tcell"
"unique_signature_genes","392"
"signature_rows","450"
"tumor_samples_scored","60"
"fibroblast_dominant_signatures","3"
"fibroblast_higher_FDR_tests","9"
"top_TAC_high_state_signature","TAC_high_positive_top50"
"top_TAC_high_state_compartment","Fibroblast"
"top_TAC_high_state_FDR","0.003"
"interpretation","Independent GSE160269 compartment localization of TAC_high meta signatures; association only"
