"item","value"
"module_status","completed"
"matched_genes","12380"
"matched_tumor_samples","238"
"datasets","GSE20347;GSE26886;GSE45670;TCGA"
"tac_high_vs_other_completed_cohorts","4"
"interaction_completed_cohorts","3"
"tac_high_vs_other_positive_meta_FDR_0.10","5145"
"interaction_positive_meta_FDR_0.10","0"
"top_tac_high_gene","POSTN"
"top_interaction_gene","ADORA3"
"top_positive_custom_or_msigdb_pathway","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"interpretation","Data-driven TAC_high transcriptome and core-by-CAF interaction models; association only"
