"signature","sample","condition","compartment","n_cells","weighted_z","abs_weight","signature_score","n_genes_present"
"Core_CAF_interaction_positive_top200","P104T","Tumor","Epithelial",81,-36.0510152625947,502.278013993144,-0.071775021518435,194
"Core_CAF_interaction_positive_top200","P104T","Tumor","Fibroblast",24,232.680707294972,502.278013993144,0.463250830839965,194
"Core_CAF_interaction_positive_top200","P104T","Tumor","Myeloid",178,-246.92990157865,466.563530148686,-0.529252471790836,180
"Core_CAF_interaction_positive_top200","P104T","Tumor","Tcell",1063,-269.199841006461,466.563530148686,-0.576984319628822,180
"Core_CAF_interaction_positive_top200","P107T","Tumor","Epithelial",440,93.1771875308541,502.278013993144,0.185509190000353,194
"Core_CAF_interaction_positive_top200","P107T","Tumor","Fibroblast",170,148.535792808665,502.278013993144,0.295724257623372,194
"Core_CAF_interaction_positive_top200","P107T","Tumor","Myeloid",275,-257.811004572477,466.563530148686,-0.55257427534106,180
"Core_CAF_interaction_positive_top200","P107T","Tumor","Tcell",1463,-206.932397179607,466.563530148686,-0.443524587345396,180
"Core_CAF_interaction_positive_top200","P10T","Tumor","Epithelial",684,0.679583778209496,502.278013993144,0.0013530032358111,194
"Core_CAF_interaction_positive_top200","P10T","Tumor","Fibroblast",1641,295.718596987395,502.278013993144,0.588754810580722,194
"Core_CAF_interaction_positive_top200","P10T","Tumor","Myeloid",1148,-133.568553729585,466.563530148686,-0.286281599607708,180
"Core_CAF_interaction_positive_top200","P10T","Tumor","Tcell",329,-134.64626658222,466.563530148686,-0.288591494794527,180
"Core_CAF_interaction_positive_top200","P11T","Tumor","Epithelial",95,274.991284003413,502.278013993144,0.547488196461584,194
"Core_CAF_interaction_positive_top200","P11T","Tumor","Fibroblast",594,212.605456630831,502.278013993144,0.423282426679605,194
"Core_CAF_interaction_positive_top200","P11T","Tumor","Myeloid",279,-137.551110051869,466.563530148686,-0.294817535369801,180
"Core_CAF_interaction_positive_top200","P11T","Tumor","Tcell",1637,-111.021586045842,466.563530148686,-0.237955988567005,180
"Core_CAF_interaction_positive_top200","P126T","Tumor","Epithelial",100,38.84290120744,502.278013993144,0.0773334689659942,194
"Core_CAF_interaction_positive_top200","P126T","Tumor","Fibroblast",87,344.963804715027,502.278013993144,0.686798536078737,194
"Core_CAF_interaction_positive_top200","P126T","Tumor","Myeloid",425,-154.474878146965,466.563530148686,-0.331090769348682,180
"Core_CAF_interaction_positive_top200","P126T","Tumor","Tcell",819,-56.4346437397862,466.563530148686,-0.120958112010601,180
"Core_CAF_interaction_positive_top200","P127T","Tumor","Epithelial",1590,30.2446931218873,502.278013993144,0.0602150448144045,194
"Core_CAF_interaction_positive_top200","P127T","Tumor","Fibroblast",45,73.2895681571864,502.278013993144,0.145914346468262,194
"Core_CAF_interaction_positive_top200","P127T","Tumor","Myeloid",501,-128.179514607957,466.563530148686,-0.274731105894856,180
"Core_CAF_interaction_positive_top200","P127T","Tumor","Tcell",1059,-87.818680751852,466.563530148686,-0.188224486221342,180
"Core_CAF_interaction_positive_top200","P128T","Tumor","Epithelial",456,358.791396422586,502.278013993144,0.714328293150182,194
"Core_CAF_interaction_positive_top200","P128T","Tumor","Fibroblast",246,63.2898988069968,502.278013993144,0.1260057120634,194
"Core_CAF_interaction_positive_top200","P128T","Tumor","Myeloid",120,-203.844803442876,466.563530148686,-0.436906852487835,180
"Core_CAF_interaction_positive_top200","P128T","Tumor","Tcell",748,-169.384122568022,466.563530148686,-0.363046212621982,180
