compartment,gene,observed
Epithelial,ABL2,True
Epithelial,ACAN,True
Epithelial,ACBD3,True
Epithelial,ACKR3,True
Epithelial,ACTA2,True
Epithelial,ACTL7B,False
Epithelial,ACVR1,True
Epithelial,ADAM12,True
Epithelial,ADAM19,True
Epithelial,ADAMTS12,True
Epithelial,ADAMTS2,True
Epithelial,ADGRA2,True
Epithelial,AEBP1,True
Epithelial,ALDH18A1,True
Epithelial,ANGPTL2,True
Epithelial,ANTXR1,True
Epithelial,APBA2,True
Epithelial,ARL4C,True
Epithelial,ASPN,True
Epithelial,ATG12,True
Epithelial,ATG16L1,True
Epithelial,ATG5,True
Epithelial,AVPI1,True
Epithelial,AZIN1,True
Epithelial,BBS4,True
Epithelial,BCCIP,True
Epithelial,BGN,True
Epithelial,BICC1,True
Epithelial,BMP1,True
Epithelial,BNC2,True
Epithelial,BPGM,True
Epithelial,BTBD1,True
Epithelial,BUB3,True
Epithelial,C8ORF33,True
Epithelial,CALD1,True
Epithelial,CALU,True
Epithelial,CAMK2N1,True
Epithelial,CAMSAP2,True
Epithelial,CANT1,True
Epithelial,CAV2,True
Epithelial,CCNH,True
Epithelial,CD248,True
Epithelial,CDH11,True
Epithelial,CDH13,True
Epithelial,CDH2,True
Epithelial,CHN1,True
Epithelial,CHORDC1,True
Epithelial,CHPF,True
Epithelial,CHST7,True
Epithelial,CLEC11A,True
Epithelial,CLIC4,True
Epithelial,COL10A1,True
Epithelial,COL11A1,True
Epithelial,COL18A1,True
Epithelial,COL1A1,True
Epithelial,COL1A2,True
Epithelial,COL3A1,True
Epithelial,COL5A1,True
Epithelial,COL5A2,True
Epithelial,COL5A3,True
Epithelial,COL6A1,True
Epithelial,COL6A2,True
Epithelial,COL6A3,True
Epithelial,COL7A1,True
Epithelial,COL8A1,True
Epithelial,COMMD10,True
Epithelial,COPZ2,True
Epithelial,CORO1C,True
Epithelial,COX15,True
Epithelial,CRMP1,True
Epithelial,CSGALNACT2,True
Epithelial,CSNK2A1,True
Epithelial,CTSK,True
Epithelial,CYC1,True
Epithelial,CYHR1,True
Epithelial,DACT1,True
Epithelial,DCN,True
Epithelial,DCPS,True
Epithelial,DCXR,True
Epithelial,DDR2,True
Epithelial,DDX10,True
Epithelial,DENND5A,True
Epithelial,DERL1,True
Epithelial,DGAT1,True
Epithelial,DGKI,True
Epithelial,DKK3,True
Epithelial,DLC1,True
Epithelial,DNAJB4,True
Epithelial,DNMBP,True
Epithelial,DNPH1,True
Epithelial,DOCK1,True
Epithelial,DOK4,True
