signature,model,rank,gene,weight,meta_p,meta_FDR
TAC_high_positive_top50,TAC_high_vs_other,1,POSTN,10.560119065091,4.56082956703955e-26,5.64630700399497e-22
TAC_high_positive_top50,TAC_high_vs_other,2,COL6A3,10.0649149149854,7.89555738603087e-24,4.88735002195311e-20
TAC_high_positive_top50,TAC_high_vs_other,3,COL1A2,9.92189131978333,3.34359433573533e-23,1.13100211331878e-19
TAC_high_positive_top50,TAC_high_vs_other,4,TMEM158,9.88735607902897,4.72337701063774e-23,1.13100211331878e-19
TAC_high_positive_top50,TAC_high_vs_other,5,CHST7,9.88371352230078,4.8983280122612e-23,1.13100211331878e-19
TAC_high_positive_top50,TAC_high_vs_other,6,COL3A1,9.8724407294005,5.48143189007485e-23,1.13100211331878e-19
TAC_high_positive_top50,TAC_high_vs_other,7,FAP,9.85684698592854,6.40284819792198e-23,1.13238943843249e-19
TAC_high_positive_top50,TAC_high_vs_other,8,SULF1,9.80289561962553,1.09403555793987e-22,1.63062275531787e-19
TAC_high_positive_top50,TAC_high_vs_other,9,COL1A1,9.79479054513944,1.18542849740394e-22,1.63062275531787e-19
TAC_high_positive_top50,TAC_high_vs_other,10,COL6A2,9.76168678451397,1.64397791819925e-22,2.03524466273068e-19
TAC_high_positive_top50,TAC_high_vs_other,11,COL5A1,9.66434046149038,4.27363755099728e-22,4.80978480739512e-19
TAC_high_positive_top50,TAC_high_vs_other,12,FN1,9.61476771861226,6.92655081769137e-22,7.14589159358493e-19
TAC_high_positive_top50,TAC_high_vs_other,13,CALD1,9.4824202478761,2.48452417045105e-21,2.36603147924492e-18
TAC_high_positive_top50,TAC_high_vs_other,14,COL6A1,9.46575625126755,2.91444400572912e-21,2.56405678123794e-18
TAC_high_positive_top50,TAC_high_vs_other,15,SPARC,9.45907838301518,3.10669238437553e-21,2.56405678123794e-18
TAC_high_positive_top50,TAC_high_vs_other,16,LUM,9.38148601889215,6.50493680336982e-21,5.0331948516074e-18
TAC_high_positive_top50,TAC_high_vs_other,17,NOX4,9.32444144778033,1.11569679027914e-20,8.12489780215045e-18
TAC_high_positive_top50,TAC_high_vs_other,18,CTSK,9.27013886982879,1.85903722834366e-20,1.27860449371636e-17
TAC_high_positive_top50,TAC_high_vs_other,19,CLEC11A,9.26050860370008,2.03460712560429e-20,1.32570716920953e-17
TAC_high_positive_top50,TAC_high_vs_other,20,CDH11,9.23017347347911,2.7019395374233e-20,1.67250057366502e-17
