source_sheet,sample_label,stage,macrophages_m0,macrophages_m1,macrophages_m2
Figure 2e,NE 1,NE,0.0,0.0,0.250851844644219
Figure 2e,NE 2,NE,0.0,0.0645693116859387,0.0233850574853747
Figure 2e,NE 3,NE,0.0,0.270221097939725,0.0
Figure 2e,NE 4,NE,0.0,0.0,0.0
Figure 2e,NE 5,NE,0.0,0.0600350864202417,0.0257319130023278
Figure 2e,NE 6,NE,0.0010467165666708,0.062835511695899,0.0
Figure 2e,NE 7,NE,0.0,0.101550028273489,0.0299630930890431
Figure 2e,NE 8,NE,0.0,0.137984707945008,0.0
Figure 2e,NE 9,NE,0.042134795272936,0.17211763596547,0.0
Figure 2e,NE 10,NE,0.0,0.0489196396118868,0.071165944662378
Figure 2e,NE 11,NE,0.0,0.0697943367159029,0.0
Figure 2e,LGIN 1,LGIN,0.0,0.057558166279084,0.0
Figure 2e,LGIN 2,LGIN,0.0,0.00611880674785243,0.0
Figure 2e,LGIN 3,LGIN,0.0231425989275284,0.120313890639767,0.023888978156299
Figure 2e,LGIN 4,LGIN,0.0,0.0616235728818444,0.108901492720943
Figure 2e,LGIN 5,LGIN,0.0,0.0626857314515296,0.051398452396159
Figure 2e,LGIN 6,LGIN,0.0,0.0708245036529024,0.0838054631400784
Figure 2e,LGIN 7,LGIN,0.0428619728928978,0.0584895183704533,0.0347138865482076
Figure 2e,LGIN 8,LGIN,0.0926209485580185,0.119304306142755,0.0905225033783271
Figure 2e,LGIN 9,LGIN,0.0586261242355402,0.133151249940732,0.0685024357653113
Figure 2e,LGIN 10,LGIN,0.0,0.155006561824323,0.00806130238543818
Figure 2e,LGIN 11,LGIN,0.0,0.0865819235084063,0.0518967547328072
Figure 2e,LGIN 12,LGIN,0.0179677193250669,0.073182027909657,0.0632113365339227
Figure 2e,HGIN 1,HGIN,0.0,0.0472733033032984,0.0691166164001681
Figure 2e,HGIN 2,HGIN,0.0,0.0462485560512127,0.0574786271109978
Figure 2e,HGIN 3,HGIN,0.042305055756708,0.031221424485766,0.0
Figure 2e,HGIN 4,HGIN,0.01105319680133,0.049667038752361,0.0364781101927177
Figure 2e,HGIN 5,HGIN,0.00762264430528497,0.058851175974762,0.0617657284253549
Figure 2e,HGIN 6,HGIN,0.00902368616830768,0.0445177827516554,0.112966866590229
Figure 2e,HGIN 7,HGIN,0.0,0.0606389165241925,0.111375879941451
Figure 2e,HGIN 8,HGIN,0.0,0.0508727975923737,0.0878729464206156
Figure 2e,HGIN 9,HGIN,0.0205785512894887,0.0529255635241812,0.0667127822115125
Figure 2e,HGIN 10,HGIN,0.0357944398652154,0.0414982799601505,0.207735691716105
Figure 2e,HGIN 11,HGIN,0.0308826372310151,0.0616575007948545,0.0764783731938008
Figure 2e,HGIN 12,HGIN,0.0,0.072360590922555,0.0568607372616553
Figure 2e,ESCC1,ESCC,0.0169645041364752,0.0537536604743339,0.0813080645348362
Figure 2e,ESCC2,ESCC,0.194892806528136,0.102384021580263,0.0224353568366674
Figure 2e,ESCC3,ESCC,0.134304361217715,0.0865452428462413,0.065623656818831
Figure 2e,ESCC4,ESCC,0.0632326035808854,0.22899275112286,0.0
Figure 2e,ESCC5,ESCC,0.00896452727794239,0.093951055015626,0.0
Figure 2e,ESCC6,ESCC,0.141635766479614,0.0715142584961185,0.00350029736625538
Figure 2e,ESCC7,ESCC,0.189660136499045,0.0728686395232795,0.0842832836530724
Figure 2e,NE,NE,0.0039255919854188,0.0898206687503238,0.0364634411712129
Figure 2e,LGIN,LGIN,0.0196016136615877,0.0837366882791088,0.0487418838131245
Figure 2e,HGIN,HGIN,0.0131050176181125,0.0514777442197802,0.0787368632887173
Figure 2e,ESCC,ESCC,0.107093529388545,0.101429947008389,0.0367358084585232
