source_sheet,scan_label,roi_label,stage,gene,expression
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,005,NE,KRT16,5.26730060276863
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,005,NE,KRT17,3.75537618275471
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,005,NE,MAL,3.75537618275471
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,005,NE,TAGLN2,6.46812735557096
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,005,NE,CRNN,3.75537618275471
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,009,NE,KRT16,8.07904055758817
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,009,NE,KRT17,5.7047357042464
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,009,NE,MAL,8.61490165001649
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,009,NE,TAGLN2,8.04218491697654
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-01,009,NE,CRNN,9.82135886801612
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,001,NE,KRT16,5.38459497989631
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,001,NE,KRT17,4.76003468407973
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,001,NE,MAL,8.51064545873176
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,001,NE,TAGLN2,5.54438886178755
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,001,NE,CRNN,10.2918982744542
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,004,NE,KRT16,5.83972233898901
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,004,NE,KRT17,4.30428179828078
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,004,NE,MAL,8.40353823261086
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,004,NE,TAGLN2,5.26730060276863
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,004,NE,CRNN,7.82070439547284
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,005,NE,KRT16,6.33079788621829
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,005,NE,KRT17,5.23344853564104
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,005,NE,MAL,9.7738430173498
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,005,NE,TAGLN2,7.64515398611459
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,005,NE,CRNN,9.9404736831404
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,008,NE,KRT16,6.28543639808974
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,008,NE,KRT17,5.02637965687053
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,008,NE,MAL,9.10815687218492
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,008,NE,TAGLN2,6.99279116383198
"Fig5c, Supplment Fig 5a,9a, b",MIPCC-DSP-20210914C-02,008,NE,CRNN,9.57949557551604
