"field","value"
"module_status","completed"
"source_article","Liu et al. Nature Communications 2023 doi:10.1038/s41467-023-40343-5"
"source_data_type","published_source_data_DSP_cell_deconvolution_IF_and_ROI_marker_tables"
"full_wta_matrix_available","FALSE"
"direct_TAC_high_score_possible","FALSE"
"roi_marker_stage_count","1"
"n_source_features_tested","12"
"n_progression_increasing_FDR","6"
"fibroblast_delta_ESCC_minus_NE","3.297"
"fibroblast_stage_trend_rho","0.789"
"fibroblast_stage_trend_FDR","<0.001"
"alpha_SMA_delta_ESCC_minus_NE","13.891"
"alpha_SMA_stage_trend_rho","0.639"
"alpha_SMA_stage_trend_FDR","<0.001"
"M2_macrophage_delta_ESCC_minus_NE","0.018"
"M2_macrophage_stage_trend_rho","0.271"
"M2_macrophage_stage_trend_FDR","0.080"
"evidence_call","spatial_progression_context_supports_fibroblast_CAF_expansion_not_direct_TAC_high_validation"
