"sample_label","stage","feature","value","source_type","rank"
"NE 1","NE","fibroblasts",0.121748390424868,"DSP cell deconvolution",0
"NE 2","NE","fibroblasts",0.434668235354454,"DSP cell deconvolution",0
"NE 3","NE","fibroblasts",0,"DSP cell deconvolution",0
"NE 4","NE","fibroblasts",0,"DSP cell deconvolution",0
"NE 5","NE","fibroblasts",0.688679245142764,"DSP cell deconvolution",0
"NE 6","NE","fibroblasts",0.499196458477543,"DSP cell deconvolution",0
"NE 7","NE","fibroblasts",0.245924142028491,"DSP cell deconvolution",0
"NE 8","NE","fibroblasts",0.378889653760666,"DSP cell deconvolution",0
"NE 9","NE","fibroblasts",0.0959551668081233,"DSP cell deconvolution",0
"NE 10","NE","fibroblasts",0.00367773183938791,"DSP cell deconvolution",0
"NE 11","NE","fibroblasts",0.266455119332968,"DSP cell deconvolution",0
"LGIN 1","LGIN","fibroblasts",0.0640942532690398,"DSP cell deconvolution",1
"LGIN 2","LGIN","fibroblasts",0,"DSP cell deconvolution",1
"LGIN 3","LGIN","fibroblasts",0.210964428446526,"DSP cell deconvolution",1
"LGIN 4","LGIN","fibroblasts",1.19839638555129,"DSP cell deconvolution",1
"LGIN 5","LGIN","fibroblasts",1.11563047692032,"DSP cell deconvolution",1
"LGIN 6","LGIN","fibroblasts",0.409390488793322,"DSP cell deconvolution",1
"LGIN 7","LGIN","fibroblasts",0.312885324053359,"DSP cell deconvolution",1
"LGIN 8","LGIN","fibroblasts",0.634759651702509,"DSP cell deconvolution",1
"LGIN 9","LGIN","fibroblasts",0.564681794871813,"DSP cell deconvolution",1
"LGIN 10","LGIN","fibroblasts",0.233397385064984,"DSP cell deconvolution",1
"LGIN 11","LGIN","fibroblasts",0.603887912056829,"DSP cell deconvolution",1
"LGIN 12","LGIN","fibroblasts",0.701115716633124,"DSP cell deconvolution",1
"HGIN 1","HGIN","fibroblasts",1.52546791127779,"DSP cell deconvolution",2
"HGIN 2","HGIN","fibroblasts",3.83005119048502,"DSP cell deconvolution",2
