"model","feature","term","n","events","HR","conf.low","conf.high","p.value","FDR_univariable"
"univariable","TMEM158","TMEM158_per_1sd",179,106,0.957507753654095,0.795588932573862,1.15238040748209,0.64594654248891,0.916878757263422
"univariable","core_axis_state_score","core_axis_state_score_per_1sd",179,106,1.01019683383277,0.834954207739646,1.22221989376927,0.916878757263422,0.916878757263422
"univariable","full_axis_ecology_score","full_axis_ecology_score_per_1sd",179,106,1.0584024862627,0.872910402096801,1.2833113458566,0.563691339455926,0.916878757263422
"univariable","CAF_score","CAF_score_per_1sd",179,106,1.1394723610132,0.936804940637704,1.38598464332302,0.191328516008789,0.916878757263422
"univariable","Proteostasis_score","Proteostasis_score_per_1sd",179,106,1.01994084470164,0.842619821255838,1.23457732710378,0.839425594898981,0.916878757263422
"univariable","Drug_efflux_score","Drug_efflux_score_per_1sd",179,106,1.07774399992178,0.890687512352698,1.30408489313977,0.441436475550773,0.916878757263422
"univariable","ECM_integrin_bridge_score","ECM_integrin_bridge_score_per_1sd",179,106,1.13258948852504,0.930054490167745,1.37922988715,0.215491633510061,0.916878757263422
"univariable","Residual_stress_score","Residual_stress_score_per_1sd",179,106,0.935589798913311,0.772860730762321,1.13258215483048,0.494658712050915,0.916878757263422
"univariable","TAC_high_indicator","TAC_high_indicator_positive",179,106,0.942432308764977,0.62646273020004,1.41776775183493,0.77597854496346,0.916878757263422
"age_sex_TNM_adjuvant_adjusted","TMEM158","TMEM158_per_1sd",179,106,1.0683126577228,0.885602048459436,1.28871871585675,0.489881243797281,
"age_sex_TNM_adjuvant_adjusted","full_axis_ecology_score","full_axis_ecology_score_per_1sd",179,106,1.12404698810145,0.924189870578201,1.36712343608514,0.24172415261059,
"age_sex_TNM_adjuvant_adjusted","TAC_high_indicator","TAC_high_indicator_positive",179,106,0.935696614693597,0.613837613162302,1.42631884390174,0.757313035336369,
