"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"TAC_high_adjusted_for_CAF","HALLMARK_MYC_TARGETS_V1",184,2.1329057921216,0.53970264412075,1.59320314800085,2.17249230017763,"positive",5.01203313505109e-42,"CYC1;PSMD14;UBE2L3;STARD7;EIF3D;PSMD7;EIF3J;HSPE1;HNRNPA3;TRA2B",7.52807376884673e-39
"TAC_high_adjusted_for_CAF","REACTOME_CELL_CYCLE_MITOTIC",432,1.54559702850649,0.527868278969892,1.0177287495366,1.562612650197,"positive",8.89104864930118e-39,"PSMD11;PHLDA1;PSMD14;HSP90AA1;MZT2B;DYNC1I2;RANGAP1;FZR1;KMT5A;UBC",6.67717753562518e-36
"TAC_high_adjusted_for_CAF","REACTOME_M_PHASE",296,1.64980756375168,0.53676970163659,1.11303786211509,1.69828136270768,"positive",1.11052690606479e-32,"PSMD11;PSMD14;HSP90AA1;MZT2B;DYNC1I2;RANGAP1;KMT5A;UBC;TNPO1;PSMC1",5.56003804303103e-30
"TAC_high_adjusted_for_CAF","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",105,-1.58422018523688,0.581752442598526,-2.16597262783541,-2.12788552637135,"negative",2.1778736451597e-29,"CD99;ULBP1;COL1A1;COL2A1;CD81;PVR;COL1A2;COL3A1;COL17A1;ICAM5",8.17791553757469e-27
"TAC_high_adjusted_for_CAF","REACTOME_CELL_CYCLE_CHECKPOINTS",212,1.76169632873102,0.542503985187056,1.21919234354396,1.81157037041434,"positive",5.57084754350326e-29,"PSMD11;PSMD14;DYNC1I2;RANGAP1;UBC;PSMC1;PSMD7;PSMC3;DYNC1H1;YWHAZ",1.67348260206838e-26
"TAC_high_adjusted_for_CAF","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",271,-0.592521697255541,0.589251093682658,-1.1817727909382,-0.64329724493291,"negative",2.38840750869172e-28,"F2RL1;NMB;ACKR3;LPAR1;GRP;ADORA2B;P2RY1;PLPPR2;NTS;LPAR3",5.9789801300916e-26
"TAC_high_adjusted_for_CAF","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53",299,1.58696271076856,0.538048693231295,1.04891401753726,1.58068349024288,"positive",3.23285420770739e-28,"TXNRD1;GPI;GSR;PMAIP1;KMT5A;UBC;G6PD;TXN;CARM1;BID",6.93678145710928e-26
"TAC_high_adjusted_for_CAF","REACTOME_GPCR_LIGAND_BINDING",370,-0.389127860131546,0.592726513047104,-0.98185437317865,-0.456772630495344,"negative",1.13839915340491e-27,"WNT5A;ADM;WNT7B;F2RL1;NMB;ACKR3;FZD6;LPAR1;GRP;FZD10",2.13734441051772e-25
"TAC_high_adjusted_for_CAF","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",191,1.79636597758043,0.54406122009428,1.25230475748615,1.81669861652041,"positive",1.45113430242335e-27,"PSMD11;PSMD14;DYNC1I2;RANGAP1;UBC;TNPO1;PSMC1;PSMD7;PSMC3;DYNC1H1",2.42178191359986e-25
"TAC_high_adjusted_for_CAF","HALLMARK_OXIDATIVE_PHOSPHORYLATION",180,1.90756483538322,0.543549708449022,1.3640151269342,2.12879676418748,"positive",1.83120710440414e-27,"TOMM22;VDAC2;GPI;CYC1;NDUFA6;ATP6V1E1;NDUFA8;ECI1;UQCR11;ATP6V1G1",2.75047307081502e-25
"TAC_high_adjusted_for_CAF","HALLMARK_MTORC1_SIGNALING",189,1.84332389294763,0.54353866767943,1.2997852252682,2.07727304408631,"positive",6.3230138036129e-27,"RIT1;TXNRD1;GPI;GCLC;ACTR3;SLC7A11;SC5D;PSMD14;SLC1A5;CD9",8.63378793911507e-25
"TAC_high_adjusted_for_CAF","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",175,1.94003991862822,0.543642861752324,1.3963970568759,2.07975512125214,"positive",7.86007882414815e-26,"MAFG;ABCC1;NFE2L2;TALDO1;PSMD11;TXNRD1;GCLC;SLC7A11;GCLM;PSMD14",9.83819866155877e-24
"TAC_high_adjusted_for_CAF","HALLMARK_ALLOGRAFT_REJECTION",192,-0.904612428022385,0.586507523763321,-1.49111995178571,-1.15875260661115,"negative",9.35572943042091e-26,"EIF3D;EIF3J;IL11;MRPL3;EIF5A;AKT1;UBE2N;DEGS1;ABI1;TGFB1",1.08094658496094e-23
"TAC_high_adjusted_for_CAF","REACTOME_KEAP1_NFE2L2_PATHWAY",105,2.38124511925987,0.547831965452122,1.83341315380775,2.34544518454031,"positive",1.2778165972282e-25,"MAFG;ABCC1;NFE2L2;TALDO1;PSMD11;TXNRD1;GCLC;SLC7A11;GCLM;PSMD14",1.37091466359769e-23
