"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"Core_CAF_interaction","REACTOME_TRANSLATION",210,0.865103824902115,0.0991325723393525,0.765971252562763,0.897582661597749,"positive",2.41293380534223e-25,"EIF3H;EIF3E;EIF3J;EIF3A;EIF2B2;RPL8;PPA1;PPA2;MRPL13;MRPL15",3.62663950942938e-22
"Core_CAF_interaction","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",105,-1.14905558522083,0.122913730757438,-1.27196931597827,-1.41954468078279,"negative",1.64226304398048e-21,"COL1A1;COL3A1;CD99;PVR;NECTIN2;COL1A2;ITGB1;VCAM1;COL2A1;CD200",9.42358637882335e-19
"Core_CAF_interaction","HALLMARK_ALLOGRAFT_REJECTION",192,-0.800484760429409,0.126502156432705,-0.926986916862114,-0.902739933315527,"negative",1.8809553650346e-21,"IL11;EIF3J;EIF3A;LIF;TIMP1;ABCE1;THY1;TPD52;EIF5A;BCL10",9.42358637882335e-19
"Core_CAF_interaction","HALLMARK_OXIDATIVE_PHOSPHORYLATION",180,0.83828761027619,0.101411757274561,0.736875853001629,0.92186586811499,"positive",1.66022297848607e-20,"CYC1;COX15;SLC25A6;UQCR11;UQCRB;COX7A2L;FXN;TIMM17A;MRPL15;PRDX3",6.23828784166139e-18
"Core_CAF_interaction","HALLMARK_MYC_TARGETS_V1",184,0.814262333660397,0.10153254667152,0.712729786988878,0.900154623656018,"positive",2.7547774530492e-20,"CYC1;EIF3J;HSP90AB1;PSMD1;BUB3;SSB;PRDX3;CCT2;ABCE1;RPL34",8.28086102386591e-18
"Core_CAF_interaction","HALLMARK_INTERFERON_GAMMA_RESPONSE",176,-0.706687630273945,0.123934138932119,-0.830621769206064,-0.574540864187882,"negative",1.27029329715655e-19,"SOCS3;PSMA3;IFITM2;ARL4A;CASP7;RIPK2;IL6;TNFAIP6;ISOC1;MVP",3.18208470937715e-17
"Core_CAF_interaction","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",271,-0.501031637996483,0.125848111528319,-0.626879749524802,-0.312892799229584,"negative",2.04899802730484e-16,"F2RL1;ADRA1D;PTGIR;GPR4;RXFP3;NMB;PSAP;HCRT;EDNRA;NTSR1",4.3994914786274e-14
"Core_CAF_interaction","REACTOME_RRNA_PROCESSING",156,0.78983211523915,0.103476881431778,0.686355233807372,0.740560778085715,"positive",2.42154779288722e-16,"EXOSC4;RPP30;RPL8;ISG20L2;GAR1;RPS27L;RPL37A;RPL34;TFB1M;RIOK2",4.54948291588686e-14
"Core_CAF_interaction","REACTOME_GPCR_LIGAND_BINDING",370,-0.387073851050034,0.127504790465269,-0.514578641515303,-0.255046417880566,"negative",4.48511387173303e-16,"F2RL1;ADRA1D;GIP;PTGIR;GPR4;RXFP3;NMB;PSAP;HCRT;EDNRA",7.49014016579416e-14
"Core_CAF_interaction","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",98,0.943548717448674,0.105491567683553,0.838057149765122,0.946132643089169,"positive",4.82587613825402e-15,"EIF3H;EIF3E;EIF3J;EIF3A;EIF2B2;RPL8;RPS27L;RPL37A;RPL34;RPL3",7.25329183579579e-13
