"model","gene","n_datasets","combined_z","meta_p","mean_logFC","median_logFC","positive_nominal","negative_nominal","positive_fdr","negative_fdr","sign_consistency","meta_FDR"
"Core_CAF_interaction","ADORA3",3,-4.28293174603693,1.84446764605582e-05,-1.27402460524723,-1.15113378904887,0,2,0,0,1,0.125403904031384
"Core_CAF_interaction","NCF1",3,-4.26201579372705,2.02591121213868e-05,-1.39883468541746,-1.20094952032001,0,1,0,0,1,0.125403904031384
"Core_CAF_interaction","VPREB3",3,-3.89040941466648,0.000100075230868942,-1.11222343860426,-1.42601342813004,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","ZBTB32",3,-3.81417191108104,0.000136640330600639,-1.03371423808614,-1.02768669527301,0,2,0,0,1,0.253876757651265
"Core_CAF_interaction","SLC39A4",3,3.79018503486464,0.000150535104438685,0.666809315930801,0.795204530573469,1,0,0,0,1,0.253876757651265
"Core_CAF_interaction","GNAO1",3,-3.76703670884633,0.000165196718085073,-0.694852835115542,-0.51632881800384,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","CD86",3,-3.74833537928444,0.000178012117506498,-1.49531689093095,-1.74032016884599,0,3,0,0,1,0.253876757651265
"Core_CAF_interaction","NCF1C",3,-3.71337200152163,0.000204515924272833,-1.14719456462559,-1.0454775631091,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","VPS28",3,3.62927141155009,0.000284222287520889,0.629491438775315,0.547385392592393,1,0,0,0,1,0.253876757651265
"Core_CAF_interaction","SPRY2",3,3.61449860470022,0.000300929436722185,1.27910703964563,1.05767446892701,1,0,0,0,1,0.253876757651265
"Core_CAF_interaction","CLEC10A",3,-3.58966641858331,0.000331101396309091,-1.07252377165358,-1.01826011377825,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","SLC52A2",3,3.54598919972163,0.000391142237711492,0.522460134747957,0.700853572801626,1,0,0,0,1,0.253876757651265
"Core_CAF_interaction","CNGA3",3,-3.53039145244581,0.000414945241815561,-0.688516582959202,-0.207957117593551,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","RELN",3,-3.52805447293785,0.000418625998897989,-1.40625311138613,-1.55710993200442,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","CD19",3,-3.5196601247756,0.000432100120921294,-1.65961091067116,-1.60888667816568,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","PTEN",3,3.51627875953423,0.000437641228437558,0.692588989675451,0.638090493906014,1,0,0,0,1,0.253876757651265
"Core_CAF_interaction","CXCL13",3,-3.48294981204368,0.000495921325805398,-2.1723945416158,-2.02055256966455,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","CCL19",3,-3.46990580309812,0.000520640922256594,-1.67647578391126,-1.97767183090984,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","DNMBP",3,3.45378698897351,0.000552773801108703,0.558164721400466,0.772271900062528,2,0,0,0,0.666666666666667,0.253876757651265
"Core_CAF_interaction","CCR7",3,-3.45064254964486,0.000559253737005811,-1.88994228899426,-1.29415134784484,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","KRT24",3,-3.44173817094054,0.000577989403429332,-3.06882016187793,-3.17702468133452,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","LTC4S",3,-3.43638140746379,0.000589540388470971,-0.622883728609773,-0.737683214659658,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","SSTR3",3,-3.42601878437818,0.000612498021554174,-1.0433839720246,-1.08592211255258,0,2,0,0,1,0.253876757651265
"Core_CAF_interaction","CFH",3,-3.42085471606099,0.000624246702199267,-1.29148389060019,-1.04657441313312,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","GPRC5D",3,3.41869881984729,0.00062921330437643,1.01953967152907,0.99698133267675,1,0,0,0,1,0.253876757651265
"Core_CAF_interaction","FBLN1",3,-3.41620829497499,0.000634996554085554,-0.441352391498717,-0.000850054916875912,0,1,0,0,0.666666666666667,0.253876757651265
"Core_CAF_interaction","OGN",3,-3.40884618472018,0.000652382523003269,-0.943310789368316,-1.09383622631195,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","ENTPD7",3,3.40624279377836,0.000658635777224063,0.589826924279991,0.724688770040284,1,0,0,0,1,0.253876757651265
"Core_CAF_interaction","SCGB1A1",3,-3.40073474230079,0.000672050064250619,-2.40200757510354,-2.38326594315781,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","PTK2",3,3.39489213079991,0.000686556446705838,0.533480554979628,0.617450679791121,1,0,0,0,0.666666666666667,0.253876757651265
"Core_CAF_interaction","BRINP3",3,-3.39446994324312,0.000687615874257475,-1.55798967931894,-1.32586755334902,0,1,0,0,1,0.253876757651265
"Core_CAF_interaction","TUBG2",3,-3.39409239676675,0.000688564567340736,-1.00731092293481,-1.27947052263177,0,2,0,0,1,0.253876757651265
"Core_CAF_interaction","ALDH18A1",3,3.39372429569304,0.000689490697339032,1.05242713779117,0.922273309308929,3,0,0,0,1,0.253876757651265
"Core_CAF_interaction","FCGR2B",3,-3.39066281134991,0.000697238268186028,-1.51385295904646,-1.67321739779163,0,2,0,0,1,0.253876757651265
"Core_CAF_interaction","PNOC",3,-3.37918598441729,0.000727008074919835,-1.25517536231859,-1.35396684059909,0,1,0,0,1,0.257153141928788
"Core_CAF_interaction","TLR7",3,-3.36839600123055,0.00075606915079965,-1.10666905228376,-1.07453310698885,0,2,0,0,1,0.260003780191657
"Core_CAF_interaction","IL12B",3,-3.34505835367616,0.000822652602740721,-0.520491809898136,-0.386052468747513,0,1,0,0,0.666666666666667,0.271394749027007
"Core_CAF_interaction","TM9SF3",3,3.32895832674696,0.000871714465400151,0.592449534732569,0.602494344817678,1,0,0,0,1,0.271394749027007
"Core_CAF_interaction","HS1BP3",3,3.32820326344963,0.000874080665689938,0.399741934378896,0.482287089812367,1,0,0,0,1,0.271394749027007
"Core_CAF_interaction","SIGLEC1",3,-3.32731202941664,0.000876881256953174,-1.32571378781677,-1.24418935926709,0,2,0,0,1,0.271394749027007
"Core_CAF_interaction","CHI3L2",3,-3.31685445342481,0.000910370283432626,-0.458428151827352,-1.73683520117548,0,1,0,0,0.666666666666667,0.274887417290144
"Core_CAF_interaction","SASH3",3,-3.30884672959088,0.00093681106598289,-1.3886655142676,-0.930767267807918,0,1,0,0,1,0.276136214211147
"Core_CAF_interaction","ESR1",3,-3.29268672440758,0.000992349788042186,-0.313443799928188,0.169232992448599,0,1,0,0,0.666666666666667,0.28570442734796
"Core_CAF_interaction","AOAH",3,-3.27741531184803,0.00104762151967976,-0.765640738953556,-1.29502436547828,0,1,0,0,0.666666666666667,0.294762600309897
"Core_CAF_interaction","FGD2",3,-3.26653266202948,0.00108873247736175,-0.797520580149502,-0.880417233064346,0,1,0,0,1,0.294914988814926
"Core_CAF_interaction","MS4A6A",3,-3.2600472405734,0.00111393658514229,-0.871921358872629,-0.933806743779542,0,1,0,0,1,0.294914988814926
"Core_CAF_interaction","MS4A1",3,-3.25050601765661,0.00115199830418081,-1.97156425104333,-2.28701981645706,0,1,0,0,1,0.294914988814926
"Core_CAF_interaction","CHRDL1",3,-3.24604292907572,0.00117021191860416,-1.42719401773924,-1.27313585844416,0,1,0,0,1,0.294914988814926
"Core_CAF_interaction","FGL2",3,-3.24130207710209,0.00118985026394964,-0.880445676234766,-1.24035009414108,0,1,0,0,1,0.294914988814926
"Core_CAF_interaction","TNFRSF17",3,-3.23687094562474,0.00120848050161307,-2.06100218974781,-1.72693728553083,0,2,0,0,1,0.294914988814926
"Core_CAF_interaction","CD27",3,-3.23419364409363,0.00121986715068039,-1.11030482278461,-1.14601070041883,0,1,0,0,1,0.294914988814926
"Core_CAF_interaction","C11orf21",3,-3.2298069644324,0.00123873824057966,-0.641805492852158,-1.06947453019439,0,1,0,0,0.666666666666667,0.294914988814926
"Core_CAF_interaction","CYC1",3,3.21930145522801,0.00128503315065954,0.605836592622483,0.597291585065374,1,0,0,0,1,0.295564214723239
"Core_CAF_interaction","PPIEL",3,-3.21636404475225,0.00129826030533141,-0.721524295947634,-0.918889561117171,0,1,0,0,1,0.295564214723239
