"analysis","contrast","metric","n_datasets","signed_z","meta_p","meta_FDR","positive_nominal","positive_fdr","replication_call"
"state_high_vs_low","TMEM158_Ca2_PERK_core_high_vs_low","CAF_score",5,3.85789998609646,0.000114365424691395,0.00148675052098813,1,1,"meta_positive_boundary"
"state_high_vs_low","TMEM158_Ca2_PERK_core_high_vs_low","Drug_efflux_score",4,3.93610867332474,8.28134834832214e-05,0.00148675052098813,1,1,"meta_positive_boundary"
"state_high_vs_low","TMEM158_Ca2_PERK_core_high_vs_low","Survival_score",4,2.5431229383649,0.0109866565608438,0.028565307058194,1,1,"meta_positive_boundary"
"state_high_vs_low","TMEM158_CaUPR_CAF_full_high_vs_low","Drug_efflux_score",4,3.59125030395607,0.000329095380696581,0.00213911997452778,1,1,"meta_positive_boundary"
"state_high_vs_low","TMEM158_CaUPR_CAF_full_high_vs_low","Proteostasis_score",4,3.6392541763494,0.000273428813710189,0.00213911997452778,2,2,"replicated_positive"
"state_high_vs_low","TMEM158_CaUPR_CAF_full_high_vs_low","Survival_score",4,2.91862410051884,0.00351579899622602,0.0114263467377346,1,1,"meta_positive_boundary"
"state_high_vs_low","TMEM158_PERK_CAF_ecology_high_vs_low","CAF_score",1,3.44259824424322,0.00057615454813753,0.00299600365031516,1,1,"meta_positive_boundary"
"state_high_vs_low","TMEM158_PERK_CAF_ecology_high_vs_low","Drug_efflux_score",4,3.28663046371291,0.00101393794049034,0.00439373107545815,1,1,"meta_positive_boundary"
"state_high_vs_low","TMEM158_PERK_CAF_ecology_high_vs_low","Proteostasis_score",4,2.12787753090729,0.0333472389806904,0.0670312763533615,1,1,"meta_positive_boundary"
"rule_subtype_TAC_high","TAC_high_vs_all_other_rule_subtypes","Drug_efflux_score",4,4.07923019897252,4.518507679064e-05,0.0002259253839532,1,1,"meta_positive_boundary"
"rule_subtype_TAC_high","TAC_high_vs_all_other_rule_subtypes","Proteostasis_score",4,2.84052785756882,0.00450389390367083,0.0112597347591771,2,2,"replicated_positive"
"rule_subtype_TAC_high","TAC_high_vs_all_other_rule_subtypes","Survival_score",4,2.49040476248975,0.0127597687779891,0.0212662812966484,2,2,"replicated_positive"
