row_type,priority_rank,priority_tier,category,candidate,ligand,receptor,evidence_summary,delta_TAC_high_minus_other,pair_FDR,boundary_call,CAF_score_rho,CAF_score_FDR,fibroblast_signature_rho,fibroblast_signature_FDR,perk_caf_ecology_rho,perk_caf_ecology_FDR,structural_class,recommended_followup,claim_boundary,structural_followup_score
ligand_receptor_pair,1,high,ECM_integrin,POSTN->ITGA5,POSTN,ITGA5,delta=0.921; pair FDR=0.033; CAF rho=0.885/FDR=5.24e-19; fibroblast-signature rho=0.853/FDR=4.37e-16; PERK-CAF ecology rho=0.501/FDR=5.43e-04,0.921,0.033,TAC_high_higher_FDR,0.885,5.24e-19,0.853,4.37e-16,0.501,5.43e-04,ECM-integrin adhesion bridge,"defined-partner AlphaFold Server co-modelling or docking as a hypothesis generator; prioritize orthogonal proximity, spatial co-expression and integrin-activation assays","Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",1.0
ligand_receptor_pair,2,high,ECM_integrin,FN1->ITGA5,FN1,ITGA5,delta=0.653; pair FDR=0.042; CAF rho=0.839/FDR=2.33e-15; fibroblast-signature rho=0.826/FDR=1.96e-14; PERK-CAF ecology rho=0.437/FDR=0.003,0.653,0.042,TAC_high_higher_FDR,0.839,2.33e-15,0.826,1.96e-14,0.437,0.003,ECM-integrin adhesion bridge,"defined-partner AlphaFold Server co-modelling or docking as a hypothesis generator; prioritize orthogonal proximity, spatial co-expression and integrin-activation assays","Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.9283
ligand_receptor_pair,3,high,ECM_integrin,POSTN->ITGB3,POSTN,ITGB3,delta=0.570; pair FDR=0.039; CAF rho=0.801/FDR=2.06e-13; fibroblast-signature rho=0.762/FDR=1.87e-11; PERK-CAF ecology rho=0.491/FDR=7.07e-04,0.570,0.039,TAC_high_higher_FDR,0.801,2.06e-13,0.762,1.87e-11,0.491,7.07e-04,ECM-integrin adhesion bridge,"defined-partner AlphaFold Server co-modelling or docking as a hypothesis generator; prioritize orthogonal proximity, spatial co-expression and integrin-activation assays","Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.894
ligand_receptor_pair,4,high,ECM_integrin,COL1A1->ITGA1,COL1A1,ITGA1,delta=0.529; pair FDR=0.073; CAF rho=0.817/FDR=3.66e-14; fibroblast-signature rho=0.793/FDR=9.95e-13; PERK-CAF ecology rho=0.570/FDR=9.63e-05,0.529,0.073,TAC_high_higher_FDR,0.817,3.66e-14,0.793,9.95e-13,0.570,9.63e-05,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.877
ligand_receptor_pair,5,high,ECM_integrin,POSTN->ITGB1,POSTN,ITGB1,delta=0.634; pair FDR=0.088; CAF rho=0.649/FDR=1.01e-07; fibroblast-signature rho=0.644/FDR=1.44e-07; PERK-CAF ecology rho=0.302/FDR=0.044,0.634,0.088,TAC_high_higher_FDR,0.649,1.01e-07,0.644,1.44e-07,0.302,0.044,ECM-integrin adhesion bridge,"defined-partner AlphaFold Server co-modelling or docking as a hypothesis generator; prioritize orthogonal proximity, spatial co-expression and integrin-activation assays","Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.8671
ligand_receptor_pair,6,high,ECM_integrin,COL3A1->ITGA1,COL3A1,ITGA1,delta=0.405; pair FDR=0.088; CAF rho=0.825/FDR=1.40e-14; fibroblast-signature rho=0.787/FDR=1.54e-12; PERK-CAF ecology rho=0.562/FDR=9.63e-05,0.405,0.088,TAC_high_higher_FDR,0.825,1.40e-14,0.787,1.54e-12,0.562,9.63e-05,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.8453
ligand_receptor_pair,7,high,ECM_integrin,POSTN->ITGAV,POSTN,ITGAV,delta=0.480; pair FDR=0.039; CAF rho=0.680/FDR=1.59e-08; fibroblast-signature rho=0.646/FDR=1.36e-07; PERK-CAF ecology rho=0.417/FDR=0.004,0.480,0.039,TAC_high_higher_FDR,0.680,1.59e-08,0.646,1.36e-07,0.417,0.004,ECM-integrin adhesion bridge,"defined-partner AlphaFold Server co-modelling or docking as a hypothesis generator; prioritize orthogonal proximity, spatial co-expression and integrin-activation assays","Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.8334
ligand_receptor_pair,8,high,ECM_integrin,COL1A2->ITGA1,COL1A2,ITGA1,delta=0.373; pair FDR=0.083; CAF rho=0.811/FDR=6.32e-14; fibroblast-signature rho=0.792/FDR=9.95e-13; PERK-CAF ecology rho=0.502/FDR=5.43e-04,0.373,0.083,TAC_high_higher_FDR,0.811,6.32e-14,0.792,9.95e-13,0.502,5.43e-04,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.8321
ligand_receptor_pair,9,high,ECM_integrin,FN1->ITGB3,FN1,ITGB3,delta=0.336; pair FDR=0.088; CAF rho=0.735/FDR=2.40e-10; fibroblast-signature rho=0.718/FDR=9.84e-10; PERK-CAF ecology rho=0.426/FDR=0.004,0.336,0.088,TAC_high_higher_FDR,0.735,2.40e-10,0.718,9.84e-10,0.426,0.004,ECM-integrin adhesion bridge,"defined-partner AlphaFold Server co-modelling or docking as a hypothesis generator; prioritize orthogonal proximity, spatial co-expression and integrin-activation assays","Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.8094
ligand_receptor_pair,10,high,ECM_integrin,COL1A1->ITGB1,COL1A1,ITGB1,delta=0.271; pair FDR=0.092; CAF rho=0.712/FDR=1.47e-09; fibroblast-signature rho=0.722/FDR=7.52e-10; PERK-CAF ecology rho=0.354/FDR=0.020,0.271,0.092,TAC_high_higher_FDR,0.712,1.47e-09,0.722,7.52e-10,0.354,0.020,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.7776
